metric,metric_label,error_rate,error_pct,mean_stability,p10_stability,p90_stability
jaccard_pa_cor,Jaccard,0.11,11,0.9311021829222791,0.9179437110957563,0.9466130138568476
jaccard_pa_cor,Jaccard,0.12,12,0.9248969645410205,0.914480597883911,0.9313692020530917
jaccard_pa_cor,Jaccard,0.13,13,0.9257954363078097,0.9173379044095107,0.9352341676570526
jaccard_pa_cor,Jaccard,0.14,14,0.9124136589421609,0.9001992016299922,0.9233567167654515
jaccard_pa_cor,Jaccard,0.15000000000000002,15,0.9178390539100569,0.9037493799250816,0.9296514340764264
jaccard_pa_cor,Jaccard,0.16,16,0.9128710685079566,0.9034528561826523,0.9216573414804153
jaccard_pa_cor,Jaccard,0.17,17,0.9095369042552155,0.892515060094102,0.9279011645136919
jaccard_pa_cor,Jaccard,0.18000000000000002,18,0.9044677392518389,0.8909151753812933,0.91945392514311175
jaccard_pa_cor,Jaccard,0.19,19,0.907774077685669,0.891951695700913,0.922306224395305
jaccard_pa_cor,Jaccard,0.2,20,0.8998962740363262,0.8831484066127218,0.9156939649407383
procrustes_r2,Ordination (Procrustes R2),0.01,1,0.9994982205486217,0.9991496829682317,0.9999667728296836
procrustes_r2,Ordination (Procrustes R2),0.02,2,0.9980793072421434,0.9969258360326719,0.9996585032371699
procrustes_r2,Ordination (Procrustes R2),0.03,3,0.997527451505515,0.9942264148344266,0.9995500006623231
procrustes_r2,Ordination (Procrustes R2),0.04,4,0.9963221224124126,0.991953366902268,0.9986949790407934
procrustes_r2,Ordination (Procrustes R2),0.05,5,0.9966472289318542,0.9951162216062743,0.9984919560012121
procrustes_r2,Ordination (Procrustes R2),0.060000000000000005,6,0.9955887853268945,0.9930895439168029,0.9977055999322245
procrustes_r2,Ordination (Procrustes R2),0.06999999999999999,7,0.9941380451134101,0.9909884595329296,0.9972257104994892
procrustes_r2,Ordination (Procrustes R2),0.08,8,0.9932041547331095,0.984955881407859,0.9971057463067734
procrustes_r2,Ordination (Procrustes R2),0.09,9,0.9935027325504235,0.9907105066042157,0.9956778686965766
procrustes_r2,Ordination (Procrustes R2),0.09999999999999999,10,0.9931845213956099,0.9905531703015616,0.9961203655249863
procrustes_r2,Ordination (Procrustes R2),0.11,11,0.9918944630315453,0.9876877655972431,0.9960169209376686
procrustes_r2,Ordination (Procrustes R2),0.12,12,0.9914989003528568,0.9875435621801929,0.9950076776087261
procrustes_r2,Ordination (Procrustes R2),0.13,13,0.9905808691405918,0.9872744470752387,0.995163945071541
procrustes_r2,Ordination (Procrustes R2),0.14,14,0.9867539226881785,0.9800201365761378,0.9930207694733493
procrustes_r2,Ordination (Procrustes R2),0.15000000000000002,15,0.9883203736840761,0.9817432482198181,0.9942720724964809
procrustes_r2,Ordination (Procrustes R2),0.16,16,0.9856874090001048,0.9804313239039923,0.9895065051685255
procrustes_r2,Ordination (Procrustes R2),0.17,17,0.9887560055120069,0.9846255907427179,0.9941811287507185
procrustes_r2,Ordination (Procrustes R2),0.18000000000000002,18,0.9820896004547113,0.9747743070747048,0.9902546725673872
procrustes_r2,Ordination (Procrustes R2),0.19,19,0.9863448124183969,0.9820014695102589,0.995017502831559
procrustes_r2,Ordination (Procrustes R2),0.2,20,0.9843398252681487,0.975029591806975,0.9889138993579062
q0_cor,Alpha q0 richness,0.01,1,0.9921093437265261,0.9903902769738342,0.9938181739684003
q0_cor,Alpha q0 richness,0.02,2,0.9872768475825269,0.9848116223379937,0.9902916800726612
q0_cor,Alpha q0 richness,0.03,3,0.9835716957408741,0.9788215949240884,0.987982913340426
q0_cor,Alpha q0 richness,0.04,4,0.97968187026028275,0.9746556395207894,0.9855518891820234
q0_cor,Alpha q0 richness,0.05,5,0.9782543297252491,0.9751515708786941,0.9812843011483183
q0_cor,Alpha q0 richness,0.060000000000000005,6,0.9753655529594045,0.9716045702347367,0.978814742711517
q0_cor,Alpha q0 richness,0.06999999999999999,7,0.974544533283729,0.9702123373192488,0.9786385565622495
q0_cor,Alpha q0 richness,0.08,8,0.9712147405660703,0.9634761346456404,0.9793944734379358
q0_cor,Alpha q0 richness,0.09,9,0.969335362148764,0.9660561765431191,0.9730570654765818
q0_cor,Alpha q0 richness,0.09999999999999999,10,0.9730996256294904,0.9670670280385825,0.9778661521799299
q0_cor,Alpha q0 richness,0.11,11,0.9677383931933851,0.9630926259359892,0.9734076335001143
q0_cor,Alpha q0 richness,0.12,12,0.9686765778208161,0.9639992851651571,0.9724419264821565
q0_cor,Alpha q0 richness,0.13,13,0.9654383088036895,0.9562818314501269,0.9694119758998179
q0_cor,Alpha q0 richness,0.14,14,0.96694308125367745,0.961210795753258,0.9728738163603095
q0_cor,Alpha q0 richness,0.15000000000000002,15,0.963864462379924,0.9575798422008156,0.9730062928276134
q0_cor,Alpha q0 richness,0.16,16,0.9653794200536422,0.9629669172166786,0.9698188901220616
q0_cor,Alpha q0 richness,0.17,17,0.9681951020660424,0.9613084664727677,0.9723521295970399
q0_cor,Alpha q0 richness,0.18000000000000002,18,0.9637471509892335,0.959015833868778,0.9667334029386699
q0_cor,Alpha q0 richness,0.19,19,0.9636552843126038,0.9587035848246692,0.968157252640024
q0_cor,Alpha q0 richness,0.2,20,0.9633327828243614,0.95918188662997,0.9664616259514405
q1_cor,Alpha Hill q1,0.01,1,0.9971721497287211,0.9946509484114635,0.9989320990977406
q1_cor,Alpha Hill q1,0.02,2,0.9938011222033863,0.9917152570466519,0.9954808038025061
q1_cor,Alpha Hill q1,0.03,3,0.9901694414906135,0.9869672114006244,0.9923609260232059
q1_cor,Alpha Hill q1,0.04,4,0.9881738009380895,0.9852505947431817,0.9920264530411396
q1_cor,Alpha Hill q1,0.05,5,0.984833363938881,0.9811333363742373,0.989093421268721
q1_cor,Alpha Hill q1,0.060000000000000005,6,0.9820736922240918,0.9794016577165834,0.9846639134395584
q1_cor,Alpha Hill q1,0.06999999999999999,7,0.9805104778451594,0.9768069006262067,0.9845094987335401
q1_cor,Alpha Hill q1,0.08,8,0.9771098796206827,0.970736489744096,0.983801301462441
q1_cor,Alpha Hill q1,0.09,9,0.9736822899464834,0.9679080277775169,0.9782041654115543
q1_cor,Alpha Hill q1,0.09999999999999999,10,0.9752278284855538,0.9702332689370566,0.9789440104256172
q1_cor,Alpha Hill q1,0.11,11,0.968636687252676,0.964812565873526,0.973542541921559
q1_cor,Alpha Hill q1,0.12,12,0.9682184338529789,0.9614589780836426,0.9746443553331188
