scenario_family,scenario,baseline_scenario,unit_type,iter,error_rate,error_pct,pool_source,n_units,total_abundance,mean_local_q0,mean_local_q1,mean_local_q2,mean_coverage_chao,gamma_taxon_units
appendix_error_gradient,appendix_species_same_genus_observed_10pct,appendix_species_baseline,species_units,10,0.09999999999999999,10,observed,68,2352,6.0588235294117645,3.887202692833655,3.074956827295688,0.8356755156725966,51
appendix_error_gradient,appendix_species_same_genus_observed_11pct,appendix_species_baseline,species_units,1,0.11,11,observed,68,2352,6.088235294117647,3.9030181685913115,3.092152289460944,0.8305035084819777,51
appendix_error_gradient,appendix_species_same_genus_observed_11pct,appendix_species_baseline,species_units,2,0.11,11,observed,68,2352,6.044117647058823,3.926167713819768,3.1115934915131884,0.8293242129188221,51
appendix_error_gradient,appendix_species_same_genus_observed_11pct,appendix_species_baseline,species_units,3,0.11,11,observed,68,2352,6.029411764705882,3.9091759459900852,3.104770938513875,0.8302742843290812,51
appendix_error_gradient,appendix_species_same_genus_observed_11pct,appendix_species_baseline,species_units,4,0.11,11,observed,68,2352,5.985294117647059,3.889616039524357,3.0935561258966686,0.8308690111875512,51
appendix_error_gradient,appendix_species_same_genus_observed_11pct,appendix_species_baseline,species_units,5,0.11,11,observed,68,2352,5.9411764705882355,3.858107577245599,3.0444383913128146,0.8411075582122141,51
appendix_error_gradient,appendix_species_same_genus_observed_11pct,appendix_species_baseline,species_units,6,0.11,11,observed,68,2352,5.985294117647059,3.8798826779526157,3.0709833136365234,0.8249099029897401,51
appendix_error_gradient,appendix_species_same_genus_observed_11pct,appendix_species_baseline,species_units,7,0.11,11,observed,68,2352,6.088235294117647,3.961346565865588,3.1456145620385305,0.8301631343749694,51
appendix_error_gradient,appendix_species_same_genus_observed_11pct,appendix_species_baseline,species_units,8,0.11,11,observed,68,2352,5.955882352941177,3.89485846142367,3.088905818443378,0.8398388282618349,51
appendix_error_gradient,appendix_species_same_genus_observed_11pct,appendix_species_baseline,species_units,9,0.11,11,observed,68,2352,5.911764705882353,3.910768875461623,3.105173349328934,0.8302278769744506,51
appendix_error_gradient,appendix_species_same_genus_observed_11pct,appendix_species_baseline,species_units,10,0.11,11,observed,68,2352,6.029411764705882,3.951969950865426,3.1232773988206883,0.8279589721757458,51
appendix_error_gradient,appendix_species_same_genus_observed_12pct,appendix_species_baseline,species_units,1,0.12,12,observed,68,2352,6.117647058823529,3.9586954053338754,3.135445888747778,0.8385951302173739,51
appendix_error_gradient,appendix_species_same_genus_observed_12pct,appendix_species_baseline,species_units,2,0.12,12,observed,68,2352,6.1911764705882355,4.0183136347963595,3.175176967634201,0.8238314922250973,51
appendix_error_gradient,appendix_species_same_genus_observed_12pct,appendix_species_baseline,species_units,3,0.12,12,observed,68,2352,6.132352941176471,3.9605060537457817,3.127903676648913,0.8299758508080209,51
appendix_error_gradient,appendix_species_same_genus_observed_12pct,appendix_species_baseline,species_units,4,0.12,12,observed,68,2352,6.014705882352941,3.9013780747680458,3.0895690763147607,0.8297274463670808,51
appendix_error_gradient,appendix_species_same_genus_observed_12pct,appendix_species_baseline,species_units,5,0.12,12,observed,68,2352,6.147058823529412,3.9508632366353624,3.1007000703154053,0.825149938778087,51
appendix_error_gradient,appendix_species_same_genus_observed_12pct,appendix_species_baseline,species_units,6,0.12,12,observed,68,2352,6.1911764705882355,3.9947070536280855,3.151752259683601,0.8099355517310417,51
appendix_error_gradient,appendix_species_same_genus_observed_12pct,appendix_species_baseline,species_units,7,0.12,12,observed,68,2352,6.029411764705882,3.9395907417016613,3.1433284214345774,0.8343068887309271,51
appendix_error_gradient,appendix_species_same_genus_observed_12pct,appendix_species_baseline,species_units,8,0.12,12,observed,68,2352,6.029411764705882,3.9027001375386083,3.0920387878461613,0.8303260226249901,51
appendix_error_gradient,appendix_species_same_genus_observed_12pct,appendix_species_baseline,species_units,9,0.12,12,observed,68,2352,6,3.9136180282408706,3.1058377141055504,0.8168968535719691,51
appendix_error_gradient,appendix_species_same_genus_observed_12pct,appendix_species_baseline,species_units,10,0.12,12,observed,68,2352,6.014705882352941,3.9525257453596008,3.1503271360238436,0.8274634084967019,51
appendix_error_gradient,appendix_species_same_genus_observed_13pct,appendix_species_baseline,species_units,1,0.13,13,observed,68,2352,6.205882352941177,4.033848154417533,3.175236232620078,0.8220527084074971,51
appendix_error_gradient,appendix_species_same_genus_observed_13pct,appendix_species_baseline,species_units,2,0.13,13,observed,68,2352,6.176470588235294,3.9636512910958617,3.1123802228486404,0.8229727729862939,51
appendix_error_gradient,appendix_species_same_genus_observed_13pct,appendix_species_baseline,species_units,3,0.13,13,observed,68,2352,6.014705882352941,3.9066338154075333,3.098152622043714,0.8374238103056247,51
