metric,error_rate,error_pct,mean_value,p10_value,p90_value,mean_response_ratio,p10_response_ratio,p90_response_ratio,mean_percent_change,p10_percent_change,p90_percent_change,metric_label
mean_local_q0,0.08,8,5.927941176470588,5.844117647058823,6.029411764705882,1.1074175824175825,1.0917582417582419,1.1263736263736264,10.741758241758248,9.175824175824188,12.637362637362637,Alpha q0 richness
mean_local_q0,0.09,9,5.948529411764706,5.866176470588235,6.011764705882353,1.1112637362637363,1.095879120879121,1.123076923076923,11.126373626373631,9.587912087912098,12.307692307692308,Alpha q0 richness
mean_local_q0,0.09999999999999999,10,5.955882352941177,5.838235294117647,6.060294117647059,1.1126373626373627,1.0906593406593408,1.1321428571428571,11.263736263736268,9.065934065934078,13.214285714285712,Alpha q0 richness
mean_local_q0,0.11,11,6.0058823529411764,5.938235294117647,6.088235294117647,1.121978021978022,1.1093406593406594,1.1373626373626373,12.197802197802199,10.93406593406594,13.736263736263732,Alpha q0 richness
mean_local_q0,0.12,12,6.086764705882353,6.013235294117647,6.1911764705882355,1.137087912087912,1.1233516483516484,1.1565934065934067,13.708791208791213,12.335164835164836,15.659340659340671,Alpha q0 richness
mean_local_q0,0.13,13,6.107352941176471,6.010294117647058,6.179411764705883,1.1409340659340659,1.1228021978021978,1.1543956043956045,14.093406593406598,12.280219780219781,15.439560439560452,Alpha q0 richness
mean_local_q0,0.14,14,6.141176470588236,6.014705882352941,6.230882352941176,1.1472527472527474,1.1236263736263736,1.164010989010989,14.725274725274732,12.362637362637363,16.40109890109891,Alpha q0 richness
mean_local_q0,0.15000000000000002,15,6.132352941176471,6.094117647058823,6.160294117647059,1.1456043956043958,1.1384615384615384,1.150824175824176,14.560439560439567,13.846153846153841,15.082417582417595,Alpha q0 richness
mean_local_q0,0.16,16,6.1573529411764705,6.0852941176470585,6.214705882352941,1.1502747252747254,1.1368131868131868,1.160989010989011,15.027472527472534,13.681318681318677,16.09890109890111,Alpha q0 richness
mean_local_q0,0.17,17,6.197058823529412,6.129411764705882,6.280882352941177,1.1576923076923078,1.1450549450549452,1.1733516483516484,15.769230769230779,14.505494505494518,17.335164835164843,Alpha q0 richness
mean_local_q0,0.18000000000000002,18,6.213235294117647,6.142647058823529,6.3088235294117645,1.1607142857142858,1.1475274725274727,1.1785714285714286,16.07142857142858,14.752747252747264,17.85714285714286,Alpha q0 richness
mean_local_q0,0.19,19,6.270588235294118,6.188235294117647,6.355882352941176,1.1714285714285715,1.1560439560439562,1.1873626373626374,17.142857142857153,15.604395604395616,18.73626373626374,Alpha q0 richness
mean_local_q0,0.2,20,6.258823529411765,6.1838235294117645,6.3014705882352935,1.1692307692307693,1.1552197802197803,1.1771978021978022,16.923076923076927,15.52197802197803,17.719780219780226,Alpha q0 richness
mean_local_q1,0.01,1,3.619226696471437,3.604318228218948,3.640269528036531,1.0101479486522147,1.0059869054554784,1.016021129561285,1.0147948652214733,0.5986905455478397,1.602112956128512,Alpha Hill q1
mean_local_q1,0.02,2,3.661017217250804,3.648537270866258,3.6820496373803384,1.0218119344643064,1.0183287063338524,1.027682209479064,2.1811934464306293,1.832870633385244,2.768220947906399,Alpha Hill q1
mean_local_q1,0.03,3,3.6966443598773155,3.6785906503451624,3.7172980942584144,1.031755684347561,1.026716785384076,1.0375202658912965,3.175568434756104,2.671678538407593,3.7520265891296645,Alpha Hill q1
mean_local_q1,0.04,4,3.7204262662580305,3.689665018219179,3.7559338683313332,1.0383933575192748,1.0298077080945722,1.0483037429148274,3.8393357519274685,2.980770809457214,4.830374291482742,Alpha Hill q1
mean_local_q1,0.05,5,3.7378153116457793,3.7039778807105623,3.7670285567005344,1.043246744720629,1.0338025141394955,1.0514003371978025,4.324674472062906,3.380251413949553,5.1400337197802575,Alpha Hill q1
mean_local_q1,0.060000000000000005,6,3.7819808193994096,3.7574734358791173,3.797113209088117,1.0555736036880459,1.0487334454813237,1.059797144705014,5.55736036880459,4.873344548132385,5.979714470501411,Alpha Hill q1
mean_local_q1,0.06999999999999999,7,3.8085902270145127,3.7617745683500927,3.856327570467002,1.0630004494679615,1.0499339174348143,1.076324229271435,6.300044946796149,4.99339174348143,7.632422927143496,Alpha Hill q1
mean_local_q1,0.08,8,3.854566538135937,3.8052907637189906,3.9005440434392717,1.0758327145513236,1.0620795494085995,1.0886653129380426,7.583271455132368,6.2079549408599615,8.86653129380427,Alpha Hill q1
mean_local_q1,0.09,9,3.85426010400764,3.80905016546262,3.8787655997509467,1.0757471869422357,1.063128821056377,1.0825868182590421,7.574718694223577,6.312882105637707,8.258681825904207,Alpha Hill q1
mean_local_q1,0.09999999999999999,10,3.868593225539016,3.8265901981431334,3.9122968261379256,1.0797476474071241,1.068024349719665,1.0919455853082634,7.9747647407124145,6.802434971966503,9.194558530826349,Alpha Hill q1
mean_local_q1,0.11,11,3.9084911976740044,3.877705167881914,3.9529076123654425,1.0908834115046964,1.0822908453435478,1.1032803001082165,9.088341150469645,8.229084534354783,10.328030010821653,Alpha Hill q1
mean_local_q1,0.12,12,3.9492898111748254,3.9025679312615518,3.9970677117449127,1.1022705500268257,1.0892301922074106,1.1156056495658617,10.227055002682574,8.923019220741052,11.560564956586184,Alpha Hill q1
mean_local_q1,0.13,13,3.96334495985881,3.9235278046195043,4.032897816230267,1.1061934265973847,1.0950802189816902,1.125606047325185,10.619342659738464,9.508021898169023,12.560604732518486,Alpha Hill q1
mean_local_q1,0.14,14,3.9979812912509907,3.9431034228177575,4.053264119885769,1.115860635103213,1.1005438918115362,1.131290405223874,11.586063510321303,10.054389181153613,13.129040522387387,Alpha Hill q1
mean_local_q1,0.15000000000000002,15,4.003669015792118,3.97231269255849,4.045940503725894,1.117448113246906,1.1086963747546457,1.1292463398858759,11.744811324690597,10.869637475464568,12.924633988587601,Alpha Hill q1
mean_local_q1,0.16,16,4.034071454001545,3.987530063221331,4.073920550502323,1.12593361668918,1.1129436344728434,1.1370557393031493,12.593361668918002,11.294363447284349,13.705573930314912,Alpha Hill q1
