m1,m2,value,component,site_id
3,6,0.25,turnover,RMQS_25_ARFEUILLES_1345
4,6,0,turnover,RMQS_25_ARFEUILLES_1345
5,6,0,turnover,RMQS_25_ARFEUILLES_1345
1,2,0.21428571428571427,nestedness,RMQS_25_ARFEUILLES_1345
1,3,0.2857142857142857,nestedness,RMQS_25_ARFEUILLES_1345
2,3,0.09090909090909091,nestedness,RMQS_25_ARFEUILLES_1345
1,4,0.6428571428571429,nestedness,RMQS_25_ARFEUILLES_1345
2,4,0.5454545454545454,nestedness,RMQS_25_ARFEUILLES_1345
3,4,0.5,nestedness,RMQS_25_ARFEUILLES_1345
1,5,0.6428571428571429,nestedness,RMQS_25_ARFEUILLES_1345
2,5,0.5454545454545454,nestedness,RMQS_25_ARFEUILLES_1345
3,5,0.5,nestedness,RMQS_25_ARFEUILLES_1345
4,5,0,nestedness,RMQS_25_ARFEUILLES_1345
1,6,0.35,nestedness,RMQS_25_ARFEUILLES_1345
2,6,0.25,nestedness,RMQS_25_ARFEUILLES_1345
3,6,0.20454545454545453,nestedness,RMQS_25_ARFEUILLES_1345
4,6,0.2857142857142857,nestedness,RMQS_25_ARFEUILLES_1345
5,6,0.2857142857142857,nestedness,RMQS_25_ARFEUILLES_1345
1,2,0.21428571428571427,total,RMQS_25_ARFEUILLES_1345
1,3,0.2857142857142857,total,RMQS_25_ARFEUILLES_1345
2,3,0.09090909090909091,total,RMQS_25_ARFEUILLES_1345
1,4,0.6428571428571429,total,RMQS_25_ARFEUILLES_1345
2,4,0.5454545454545454,total,RMQS_25_ARFEUILLES_1345
3,4,0.5,total,RMQS_25_ARFEUILLES_1345
1,5,0.6428571428571429,total,RMQS_25_ARFEUILLES_1345
2,5,0.5454545454545454,total,RMQS_25_ARFEUILLES_1345
3,5,0.5,total,RMQS_25_ARFEUILLES_1345
4,5,0,total,RMQS_25_ARFEUILLES_1345
1,6,0.6,total,RMQS_25_ARFEUILLES_1345
2,6,0.5,total,RMQS_25_ARFEUILLES_1345
3,6,0.45454545454545453,total,RMQS_25_ARFEUILLES_1345
4,6,0.2857142857142857,total,RMQS_25_ARFEUILLES_1345
5,6,0.2857142857142857,total,RMQS_25_ARFEUILLES_1345
1,2,0,turnover,RMQS_25_AVESSAC_831
1,3,0,turnover,RMQS_25_AVESSAC_831
2,3,0,turnover,RMQS_25_AVESSAC_831
1,4,0,turnover,RMQS_25_AVESSAC_831
2,4,0,turnover,RMQS_25_AVESSAC_831
3,4,0,turnover,RMQS_25_AVESSAC_831
1,5,0,turnover,RMQS_25_AVESSAC_831
2,5,0,turnover,RMQS_25_AVESSAC_831
3,5,0,turnover,RMQS_25_AVESSAC_831
4,5,0,turnover,RMQS_25_AVESSAC_831
