PAYS;REGION;DEPARTEMENT;CD_DEPT;CD_INSEE;NOM_LOCALITE;LIEU-DIT;PROJET;ORGANISME;OBSERVATEUR;CD_STATION;NOM_STATION;ID_ECHANTILLON;X (Longitude);Y (Latitude);ALTITUDE;DATE;DATE_FIN;HABITAT;MICROHABITAT;METHODE;REMARQUE_STATION;CLASSE;ORDRE;FAMILLE;CD_NOM;LB_NOM;NOM_VALIDE;BOITE;CD_COLLECTION;NOM_CITE;RANG;male;female;juv;indet;ABONDANCE_TOTALE;REMARQUE_INDIVIDU;A VERIFIER/PHOTO;DETERMINATEUR;COLLECTION;DATE_DETERMINATION;ENVOI_CARDOBS
France;PROVENCE-ALPES-COTE DAZUR;BOUCHES-DU-RHONE;13;13103;Salon-de-Provence;;RMQS_2025;ECO&SOLS;M.HEDDE, C.VERSAVEL, G.MAGNE, N.HENON;2190657;RMQS_25_SALON-DE_PROVENCE_2079;RMQS_25_SALON-DE_PROVENCE_2079_TM6;43.6375659;5.1083985;102;45737;45737;Parc urbain;;Tri manuel;;Malacostraca;Isopoda;Armadillidiidae;1012421;Armadillidium arcangelii;Armadillidium arcangelii Strouhal, 1929;ISO_B10_T46;FNOE-882;Armadillidium arcangelii;ES;;1;;;1;;;F.NOEL;ECO&SOLS;46008;
;;;;;;;RMQS_2024;;;;;RMQS_2024_LA TRANCHE-SUR-MER_1237_PB3;;;;;;;;Pitfall;;Malacostraca;Isopoda;Armadillidiidae;1012421;Armadillidium arcangelii;Armadillidium arcangelii Strouhal, 1929;ISO_B3_T24;FNOE-186;Armadillidium arcangelii;ES;1;;;;1;;;F.NOEL;;45595;
;;;;;;;RMQS_2024;;;;;RMQS_2024_ARLES_2076_PB6;;;;;;;;Pitfall;;Malacostraca;Isopoda;Armadillidiidae;1012421;Armadillidium arcangelii;Armadillidium arcangelii Strouhal, 1929;ISO_B5_T13;FNOE-337;Armadillidium arcangelii;ES;1;;;;1;;;F.NOEL;;45595;
;;;;;;;RMQS_2024;;;;;RMQS_2024_ARLES_2076_PB5;;;;;;;;Pitfall;;Malacostraca;Isopoda;Armadillidiidae;1012421;Armadillidium arcangelii;Armadillidium arcangelii Strouhal, 1929;ISO_B5_T14;FNOE-338;Armadillidium arcangelii;ES;;1;;;1;;;F.NOEL;;45595;
;;;;;;;RMQS_2024;;;;;RMQS_2024_ARLES_2076_PB4;;;;;;;;Pitfall;;Malacostraca;Isopoda;Armadillidiidae;1012421;Armadillidium arcangelii;Armadillidium arcangelii Strouhal, 1929;ISO_B5_T15;FNOE-339;Armadillidium arcangelii;ES;3;;;;3;;;F.NOEL;;45595;
;;;;;;;RMQS_2024;;;;;RMQS_2024_ARLES_2076_PB3;;;;;;;;Pitfall;;Malacostraca;Isopoda;Armadillidiidae;1012421;Armadillidium arcangelii;Armadillidium arcangelii Strouhal, 1929;ISO_B5_T16;FNOE-340;Armadillidium arcangelii;ES;2;2;;;4;;;F.NOEL;;45595;
;;;;;;;RMQS_2024;;;;;RMQS_2024_ARLES_2076_PB2;;;;;;;;Pitfall;;Malacostraca;Isopoda;Armadillidiidae;1012421;Armadillidium arcangelii;Armadillidium arcangelii Strouhal, 1929;ISO_B5_T17;FNOE-341;Armadillidium arcangelii;ES;2;3;;;5;;;F.NOEL;;45595;
;;;;;;;RMQS_2024;;;;;RMQS_2024_ARLES_2076_PB1;;;;;;;;Pitfall;;Malacostraca;Isopoda;Armadillidiidae;1012421;Armadillidium arcangelii;Armadillidium arcangelii Strouhal, 1929;ISO_B5_T18;FNOE-342;Armadillidium arcangelii;ES;1;;;;1;;;F.NOEL;;45595;
France;MIDI-PYRENEES;HAUTES-PYRENEES;65;65074;Bazordan;;RMQS_2025;ECO&SOLS;M.HEDDE, C.VERSAVEL, G.MAGNE, N.HENON;2190651;RMQS_25_BAZORDAN_2186;RMQS_25_BAZORDAN_2186_DVAC;43.22370676;0.554718033;380;45770;45770;Prairie de fauche;;DVAC100;;Malacostraca;Isopoda;Armadillidiidae;699887;Armadillidium nasatum;Armadillidium nasatum Budde-Lund, 1885;ISO_B10_T12;FNOE-476;Armadillidium nasatum;ES;;;;5;5;;;F.NOEL;ECO&SOLS;46008;
France;MIDI-PYRENEES;HAUTES-PYRENEES;65;65074;Bazordan;Barthe;RMQS_2025;ECO&SOLS;M.HEDDE, C.VERSAVEL, G.MAGNE, N.HENON;2190651;RMQS_25_BAZORDAN_2186;RMQS_25_BAZORDAN_2186_GPD3;43.22370676;0.554718033;380;45742;45770;Prairie de fauche;;Pitfall;;Malacostraca;Isopoda;Armadillidiidae;699887;Armadillidium nasatum;Armadillidium nasatum Budde-Lund, 1885;ISO_B6_T67;FNOE-482;Armadillidium nasatum;ES;;;3;;3;;;F.NOEL;ECO&SOLS;46008;
France;CENTRE;LOIR-ET-CHER;41;41044;Chatres-sur-Cher;;RMQS_2025;EOOD;I.MIALON, A.TAVERNIER, E.FLACHAT;2245773;RMQS_25_CHATRES-SUR-CHER_997;RMQS_25_CHATRES-SUR-CHER_997_GPD4;47.2671231;1.9009805;102;45741;45769;Prairie permanente;;Pitfall;;Malacostraca;Isopoda;Armadillidiidae;699887;Armadillidium nasatum;Armadillidium nasatum Budde-Lund, 1885;ISO_B7_T87;FNOE-618;Armadillidium nasatum;ES;;;1;;1;;;F.NOEL;ECO&SOLS;46008;
France;ALSACE;BAS-RHIN;67;67115;Ebersheim;;RMQS_2025;EODD;Amal B., Paolina FG., Tom K.;;RMQS_25_EBERSHEIM_594;RMQS_25_EBERSHEIM_594_GPD1;48.3047154;7.5113641;163;45792;45824;Monoculture (labour);;Pitfall;;Malacostraca;Isopoda;Armadillidiidae;699887;Armadillidium nasatum;Armadillidium nasatum Budde-Lund, 1885;ISO_B8_T31;FNOE-667;Armadillidium nasatum;ES;2;;;;2;;;F.NOEL;ECO&SOLS;46008;
France;ALSACE;BAS-RHIN;67;67115;Ebersheim;;RMQS_2025;EODD;Amal B., Paolina FG., Tom K.;;RMQS_25_EBERSHEIM_594;RMQS_25_EBERSHEIM_594_PB9;48.3047154;7.5113641;163;45792;45824;Monoculture (labour);;Pitfall;;Malacostraca;Isopoda;Armadillidiidae;699887;Armadillidium nasatum;Armadillidium nasatum Budde-Lund, 1885;ISO_B8_T43;FNOE-682;Armadillidium nasatum;ES;;1;;;1;;;F.NOEL;ECO&SOLS;46008;
France;CENTRE;EURE-ET-LOIR;28;28172;Gas;Les Portes;RMQS_2025;UMR SAS;S.POUZENC, L.LERNER, L. LE CALLONEC, L.DELOURME;2190598;RMQS_25_GAS_509;RMQS_25_GAS_509_DVAC;48.56097401;1.661079158;151;45763;45763;Monoculture (colza);;DVAC100;;Malacostraca;Isopoda;Armadillidiidae;699887;Armadillidium nasatum;Armadillidium nasatum Budde-Lund, 1885;ISO_B8_T73;FNOE-712;Armadillidium nasatum;ES;;;1;;1;;;F.NOEL;ECO&SOLS;46008;
France;CENTRE;LOIR-ET-CHER;41;41150;Mont-pres-Chambord;La Richardière;RMQS_2025;UMR SAS;L.LERNER, L. LE CALLONEC, L.DELOURME;2190607;RMQS_25_MONT-PRES-CHAMBORD_899;RMQS_25_MONT-PRES-CHAMBORD_899_TM1;47.5477886;1.466212932;90;45735;45735;Monoculture (colza);;Tri manuel;;Malacostraca;Isopoda;Armadillidiidae;699887;Armadillidium nasatum;Armadillidium nasatum Budde-Lund, 1885;ISO_B9_T29;FNOE-758;Armadillidium nasatum;ES;2;3;;;5;;;F.NOEL;ECO&SOLS;46008;
France;AQUITAINE;GIRONDE;33;33314;Pauillac;Chenal du Gaet;RMQS_2025;UMR SAS;L.LERNER, L. LE CALLONEC, L.DELOURME;;RMQS_25_PAUILLAC_1571;RMQS_25_PAUILLAC_1571_DVAC;45.204736; -0.756250999;2;45783;45783;Prairie de pâture (bovins);;DVAC100;;Malacostraca;Isopoda;Armadillidiidae;699887;Armadillidium nasatum;Armadillidium nasatum Budde-Lund, 1885;ISO_B9_T48;FNOE-779;Armadillidium nasatum;ES;;;2;;2;;;F.NOEL;ECO&SOLS;46008;
France;AQUITAINE;GIRONDE;33;33314;Pauillac;Chenal du Gaet;RMQS_2025;UMR SAS;L.LERNER, L. LE CALLONEC, L.DELOURME;;RMQS_25_PAUILLAC_1571;RMQS_25_PAUILLAC_1571_PB3;45.204736; -0.756250999;2;45757;45783;Prairie de pâture (bovins);;Pitfall;;Malacostraca;Isopoda;Armadillidiidae;699887;Armadillidium nasatum;Armadillidium nasatum Budde-Lund, 1885;ISO_B9_T52;FNOE-783;Armadillidium nasatum;ES;;;1;;1;;;F.NOEL;ECO&SOLS;46008;
France;AQUITAINE;GIRONDE;33;33314;Pauillac;Chenal du Gaet;RMQS_2025;UMR SAS;L.LERNER, L. LE CALLONEC, L.DELOURME;;RMQS_25_PAUILLAC_1571;RMQS_25_PAUILLAC_1571_TM3;45.204736; -0.756250999;2;45757;45757;Prairie de pâture (bovins);;Tri manuel;;Malacostraca;Isopoda;Armadillidiidae;699887;Armadillidium nasatum;Armadillidium nasatum Budde-Lund, 1885;ISO_B9_T56;FNOE-787;Armadillidium nasatum;ES;;;1;;1;;;F.NOEL;ECO&SOLS;46008;
France;AQUITAINE;GIRONDE;33;33314;Pauillac;Chenal du Gaet;RMQS_2025;UMR SAS;L.LERNER, L. LE CALLONEC, L.DELOURME;;RMQS_25_PAUILLAC_1571;RMQS_25_PAUILLAC_1571_TM6;45.204736; -0.756250999;2;45757;45757;Prairie de pâture (bovins);;Tri manuel;;Malacostraca;Isopoda;Armadillidiidae;699887;Armadillidium nasatum;Armadillidium nasatum Budde-Lund, 1885;ISO_B9_T58;FNOE-789;Armadillidium nasatum;ES;1;;;;1;;;F.NOEL;ECO&SOLS;46008;
France;LORRAINE;MOSELLE;57;57579;Rhodes;;RMQS_2025;EODD;Justine V. Hugo B., Mathias P.;;RMQS_25_RHODES_412;RMQS_25_RHODES_412_PB2;48.74972216;6.908611333;283;45841;45869;Forêt feuillus;;Pitfall;;Malacostraca;Isopoda;Armadillidiidae;699887;Armadillidium nasatum;Armadillidium nasatum Budde-Lund, 1885;ISO_B9_T78;FNOE-809;Armadillidium nasatum;ES;;;1;;1;;;F.NOEL;ECO&SOLS;46008;
France;NORD-PAS-DE-CALAIS;PAS-DE-CALAIS;62;62734;Sailly-en-Ostrevent;;RMQS_2025;EODD;Estelle D., Charlotte G., Tony M., Quentin V.;;RMQS_25_SAILLY-EN-OSTREVENT_53;RMQS_25_SAILLY-EN-OSTREVENT_53_DVAC;50.28536452;2.994858636;40;45812;45812;Prairie permanente;;DVAC100;;Malacostraca;Isopoda;Armadillidiidae;699887;Armadillidium nasatum;Armadillidium nasatum Budde-Lund, 1885;ISO_B9_T88;FNOE-820;Armadillidium nasatum;ES;;;;4;4;;;F.NOEL;ECO&SOLS;46008;
France;NORD-PAS-DE-CALAIS;PAS-DE-CALAIS;62;62734;Sailly-en-Ostrevent;;RMQS_2025;EODD;Estelle D., Charlotte G., Tony M., Quentin V.;;RMQS_25_SAILLY-EN-OSTREVENT_53;RMQS_25_SAILLY-EN-OSTREVENT_53_GPD1;50.28536452;2.994858636;40;45783;45812;Prairie permanente;;Pitfall;;Malacostraca;Isopoda;Armadillidiidae;699887;Armadillidium nasatum;Armadillidium nasatum Budde-Lund, 1885;ISO_B9_T91;FNOE-823;Armadillidium nasatum;ES;1;;;;1;;;F.NOEL;ECO&SOLS;46008;
France;NORD-PAS-DE-CALAIS;PAS-DE-CALAIS;62;62734;Sailly-en-Ostrevent;;RMQS_2025;EODD;Estelle D., Charlotte G., Tony M., Quentin V.;;RMQS_25_SAILLY-EN-OSTREVENT_53;RMQS_25_SAILLY-EN-OSTREVENT_53_GPD2;50.28536452;2.994858636;40;45783;45812;Prairie permanente;;Pitfall;;Malacostraca;Isopoda;Armadillidiidae;699887;Armadillidium nasatum;Armadillidium nasatum Budde-Lund, 1885;ISO_B9_T93;FNOE-825;Armadillidium nasatum;ES;1;;;;1;;;F.NOEL;ECO&SOLS;46008;
France;NORD-PAS-DE-CALAIS;PAS-DE-CALAIS;62;62734;Sailly-en-Ostrevent;;RMQS_2025;EODD;Estelle D., Charlotte G., Tony M., Quentin V.;;RMQS_25_SAILLY-EN-OSTREVENT_53;RMQS_25_SAILLY-EN-OSTREVENT_53_TM1;50.28536452;2.994858636;40;45783;45783;Prairie permanente;;Tri manuel;;Malacostraca;Isopoda;Armadillidiidae;699887;Armadillidium nasatum;Armadillidium nasatum Budde-Lund, 1885;ISO_B9_T98;FNOE-830;Armadillidium nasatum;ES;;;;7;7;;;F.NOEL;ECO&SOLS;46008;
France;NORD-PAS-DE-CALAIS;PAS-DE-CALAIS;62;62734;Sailly-en-Ostrevent;;RMQS_2025;EODD;Estelle D., Charlotte G., Tony M., Quentin V.;;RMQS_25_SAILLY-EN-OSTREVENT_53;RMQS_25_SAILLY-EN-OSTREVENT_53_TM3;50.28536452;2.994858636;40;45783;45783;Prairie permanente;;Tri manuel;;Malacostraca;Isopoda;Armadillidiidae;699887;Armadillidium nasatum;Armadillidium nasatum Budde-Lund, 1885;ISO_B9_T100;FNOE-832;Armadillidium nasatum;ES;1;;;;1;;;F.NOEL;ECO&SOLS;46008;
France;NORD-PAS-DE-CALAIS;PAS-DE-CALAIS;62;62734;Sailly-en-Ostrevent;;RMQS_2025;EODD;Estelle D., Charlotte G., Tony M., Quentin V.;;RMQS_25_SAILLY-EN-OSTREVENT_53;RMQS_25_SAILLY-EN-OSTREVENT_53_TM5;50.28536452;2.994858636;40;45783;45783;Prairie permanente;;Tri manuel;;Malacostraca;Isopoda;Armadillidiidae;699887;Armadillidium nasatum;Armadillidium nasatum Budde-Lund, 1885;ISO_B10_T5;FNOE-837;Armadillidium nasatum;ES;;;;1;1;;;F.NOEL;ECO&SOLS;46008;
France;NORD-PAS-DE-CALAIS;PAS-DE-CALAIS;62;62734;Sailly-en-Ostrevent;;RMQS_2025;EODD;Estelle D., Charlotte G., Tony M., Quentin V.;;RMQS_25_SAILLY-EN-OSTREVENT_53;RMQS_25_SAILLY-EN-OSTREVENT_53_TM6;50.28536452;2.994858636;40;45783;45783;Prairie permanente;;Tri manuel;;Malacostraca;Isopoda;Armadillidiidae;699887;Armadillidium nasatum;Armadillidium nasatum Budde-Lund, 1885;ISO_B10_T6;FNOE-838;Armadillidium nasatum;ES;;1;;;1;;;F.NOEL;ECO&SOLS;46008;
France;PAYS DE LA LOIRE;VENDEE;85;85297;Triaize;;RMQS_2025;UMR SAS;L.LERNER, L. LE CALLONEC, L.DELOURME;2190617;RMQS_25_TRIAIZE_1238;RMQS_25_TRIAIZE_1238_DVAC;46.35041011;-1.211651316;3;45776;45776;Monoculture (blé);;DVAC100;;Malacostraca;Isopoda;Armadillidiidae;699887;Armadillidium nasatum;Armadillidium nasatum Budde-Lund, 1885;ISO_B10_T66;FNOE-902;Armadillidium nasatum;ES;;;1;;1;;;F.NOEL;ECO&SOLS;46008;
;;;;;;;RMQS_2024;;;;;RMQS_2024_DAHLENHEIM_476_PB1;;;;;;;;Pitfall;;Malacostraca;Isopoda;Armadillidiidae;699887;Armadillidium nasatum;Armadillidium nasatum Budde-Lund, 1885;ISO_B1_T73;FNOE-73;Armadillidium nasatum;ES;1;;;;1;;;F.NOEL;;45595;
;;;;;;;RMQS_2024;;;;;RMQS_2024_DAHLENHEIM_476_PB2;;;;;;;;Pitfall;;Malacostraca;Isopoda;Armadillidiidae;699887;Armadillidium nasatum;Armadillidium nasatum Budde-Lund, 1885;ISO_B1_T75;FNOE-75;Armadillidium nasatum;ES;5;3;;6;14;;;F.NOEL;;45595;
;;;;;;;RMQS_2024;;;;;RMQS_2024_DAHLENHEIM_476_PB3;;;;;;;;Pitfall;;Malacostraca;Isopoda;Armadillidiidae;699887;Armadillidium nasatum;Armadillidium nasatum Budde-Lund, 1885;ISO_B1_T78;FNOE-78;Armadillidium nasatum;ES;9;8;;2;19;;;F.NOEL;;45595;
;;;;;;;RMQS_2024;;;;;RMQS_2024_DAHLENHEIM_476_PB4;;;;;;;;Pitfall;;Malacostraca;Isopoda;Armadillidiidae;699887;Armadillidium nasatum;Armadillidium nasatum Budde-Lund, 1885;ISO_B1_T80;FNOE-80;Armadillidium nasatum;ES;4;15;;1;20;;;F.NOEL;;45595;
;;;;;;;RMQS_2024;;;;;RMQS_2024_DAHLENHEIM_476_PB5;;;;;;;;Pitfall;;Malacostraca;Isopoda;Armadillidiidae;699887;Armadillidium nasatum;Armadillidium nasatum Budde-Lund, 1885;ISO_B2_T2;FNOE-83;Armadillidium nasatum;ES;2;1;;;3;;;F.NOEL;;45595;
;;;;;;;RMQS_2024;;;;;RMQS_2024_DAHLENHEIM_476_PB6;;;;;;;;Pitfall;;Malacostraca;Isopoda;Armadillidiidae;699887;Armadillidium nasatum;Armadillidium nasatum Budde-Lund, 1885;ISO_B2_T3;FNOE-84;Armadillidium nasatum;ES;8;8;;;16;;;F.NOEL;;45595;
;;;;;;;RMQS_2024;;;;;RMQS_2024_VONNAS_1310_PB2;;;;;;;;Pitfall;;Malacostraca;Isopoda;Armadillidiidae;699887;Armadillidium nasatum;Armadillidium nasatum Budde-Lund, 1885;ISO_B3_T13;FNOE-175;Armadillidium nasatum;ES;4;5;;1;10;;;F.NOEL;;45595;
;;;;;;;RMQS_2024;;;;;RMQS_2024_VONNAS_1310_PB3;;;;;;;;Pitfall;;Malacostraca;Isopoda;Armadillidiidae;699887;Armadillidium nasatum;Armadillidium nasatum Budde-Lund, 1885;ISO_B3_T14;FNOE-176;Armadillidium nasatum;ES;2;3;;;5;;;F.NOEL;;45595;
;;;;;;;RMQS_2024;;;;;RMQS_2024_VONNAS_1310_PB4;;;;;;;;Pitfall;;Malacostraca;Isopoda;Armadillidiidae;699887;Armadillidium nasatum;Armadillidium nasatum Budde-Lund, 1885;ISO_B3_T15;FNOE-177;Armadillidium nasatum;ES;2;;;;2;;;F.NOEL;;45595;
;;;;;;;RMQS_2024;;;;;RMQS_2024_VONNAS_1310_PB5;;;;;;;;Pitfall;;Malacostraca;Isopoda;Armadillidiidae;699887;Armadillidium nasatum;Armadillidium nasatum Budde-Lund, 1885;ISO_B3_T16;FNOE-178;Armadillidium nasatum;ES;7;6;;;13;;;F.NOEL;;45595;
;;;;;;;RMQS_2024;;;;;RMQS_2024_VONNAS_1310_PB6;;;;;;;;Pitfall;;Malacostraca;Isopoda;Armadillidiidae;699887;Armadillidium nasatum;Armadillidium nasatum Budde-Lund, 1885;ISO_B3_T17;FNOE-179;Armadillidium nasatum;ES;1;3;;;4;;;F.NOEL;;45595;
;;;;;;;RMQS_2024;;;;;RMQS_2024_LA TRANCHE-SUR-MER_1237_PB3;;;;;;;;Pitfall;;Malacostraca;Isopoda;Armadillidiidae;699887;Armadillidium nasatum;Armadillidium nasatum Budde-Lund, 1885;ISO_B3_T25;FNOE-187;Armadillidium nasatum;ES;2;1;;;3;;;F.NOEL;;45595;
;;;;;;;RMQS_2024;;;;;RMQS_2024_LA TRANCHE-SUR-MER_1237_PB6;;;;;;;;Pitfall;;Malacostraca;Isopoda;Armadillidiidae;699887;Armadillidium nasatum;Armadillidium nasatum Budde-Lund, 1885;ISO_B3_T34;FNOE-196;Armadillidium nasatum;ES;1;1;;;2;;;F.NOEL;;45595;
;;;;;;;RMQS_2024;;;;;RMQS_2024_LA TRANCHE-SUR-MER_1237_TM2;;;;;;;;Tri manuel;;Malacostraca;Isopoda;Armadillidiidae;699887;Armadillidium nasatum;Armadillidium nasatum Budde-Lund, 1885;ISO_B3_T40;FNOE-202;Armadillidium nasatum;ES;1;;;;1;;;F.NOEL;;45595;
;;;;;;;RMQS_2024;;;;;RMQS_2024_LA TRANCHE-SUR-MER_1237_TM3;;;;;;;;Tri manuel;;Malacostraca;Isopoda;Armadillidiidae;699887;Armadillidium nasatum;Armadillidium nasatum Budde-Lund, 1885;ISO_B3_T42;FNOE-204;Armadillidium nasatum;ES;;;;3;3;;;F.NOEL;;45595;
;;;;;;;RMQS_2024;;;;;RMQS_2024_SAINT-PIERRE-DE-MAILLE_1166_PB5;;;;;;;;Pitfall;;Malacostraca;Isopoda;Armadillidiidae;699887;Armadillidium nasatum;Armadillidium nasatum Budde-Lund, 1885;ISO_B3_T70;FNOE-232;Armadillidium nasatum;ES;1;2;;;3;;;F.NOEL;;45595;
;;;;;;;RMQS_2024;;;;;RMQS_2024_SAINT-PIERRE-DE-MAILLE_1166_TM2;;;;;;;;Tri manuel;;Malacostraca;Isopoda;Armadillidiidae;699887;Armadillidium nasatum;Armadillidium nasatum Budde-Lund, 1885;ISO_B3_T71;FNOE-233;Armadillidium nasatum;ES;;;;1;1;;;F.NOEL;;45595;
;;;;;;;RMQS_2024;;;;;RMQS_2024_SAINT-PIERRE-DE-MAILLE_1166_TM3;;;;;;;;Tri manuel;;Malacostraca;Isopoda;Armadillidiidae;699887;Armadillidium nasatum;Armadillidium nasatum Budde-Lund, 1885;ISO_B3_T72;FNOE-234;Armadillidium nasatum;ES;1;;;;1;;;F.NOEL;;45595;
;;;;;;;RMQS_2024;;;;;RMQS_2024_SAINT-PIERRE-DE-MAILLE_1166_TM5;;;;;;;;Tri manuel;;Malacostraca;Isopoda;Armadillidiidae;699887;Armadillidium nasatum;Armadillidium nasatum Budde-Lund, 1885;ISO_B3_T73;FNOE-235;Armadillidium nasatum;ES;1;;;1;2;;;F.NOEL;;45595;
;;;;;;;RMQS_2024;;;;;RMQS_2024_LOSNE_1058_PB1;;;;;;;;Pitfall;;Malacostraca;Isopoda;Armadillidiidae;699887;Armadillidium nasatum;Armadillidium nasatum Budde-Lund, 1885;ISO_B3_T75;FNOE-237;Armadillidium nasatum;ES;1;1;;;2;;;F.NOEL;;45595;
;;;;;;;RMQS_2024;;;;;RMQS_2024_LE PEAGE-DE-ROUSILLON_1556_PB6;;;;;;;;Pitfall;;Malacostraca;Isopoda;Armadillidiidae;699887;Armadillidium nasatum;Armadillidium nasatum Budde-Lund, 1885;ISO_B4_T43;FNOE-286;Armadillidium nasatum;ES;1;2;;;3;;;F.NOEL;;45595;
;;;;;;;RMQS_2024;;;;;RMQS_2024_LE PEAGE-DE-ROUSILLON_1556_PB5;;;;;;;;Pitfall;;Malacostraca;Isopoda;Armadillidiidae;699887;Armadillidium nasatum;Armadillidium nasatum Budde-Lund, 1885;ISO_B4_T44;FNOE-287;Armadillidium nasatum;ES;2;5;;;7;;;F.NOEL;;45595;
