pays;region;dpt;num_dpt;CD_INSEE;city;lieu-dit;project_yr;lon;lat;alt;date;date_fin;habitat;habitat_complet;
France;OCCITANIE;TARN;81;81143;Lescout;;RMQS_2025;43.52529907;2.127940412;215;25/03/2025;23/04/2025;cropland;Monoculture (féverolle);
France;PAYS DE LA LOIRE;MAINE-ET-LOIRE;49;49240;La-Plaine;;RMQS_2024;47.0848050528202;-0.625406540946352;170;12/04/2024;07/05/2024;cropland;Monoculture;
France;PAYS DE LA LOIRE;MAYENNE;53;53116;Horps;;RMQS_2025;48.38486088;-0.483534692;275;31/03/2025;28/04/2025;cropland;Monoculture (blé);
France;PAYS DE LA LOIRE;MAYENNE;53;53143;Maisoncelles-Du-Maine;;RMQS_2024;47.9484894161672;-0.676113973755391;76;31/03/2025;28/04/2025;cropland;Monoculture;
France;PAYS DE LA LOIRE;SARTHE;72;72193;Melleray;;RMQS_2025;48.12044509;0.816313194;190;06/03/2025;31/03/2025;cropland;Monoculture (Colza);
France;PAYS DE LA LOIRE;SARTHE;72;72195;Mezeray;;RMQS_2024;47.8193557784935;-0.027466457254098;38;16/04/2024;15/05/2024;cropland;Monoculture;
France;PAYS DE LA LOIRE;VENDEE;85;85294;La-Tranche-Sur-Mer;;RMQS_2024;46.3506497510169;-1.40321679085194;3;17/04/2024;15/05/2024;cropland;Culture;
France;PAYS DE LA LOIRE;VENDEE;85;85297;Triaize;;RMQS_2025;46.35041011;-1.211651316;3;02/04/2025;29/04/2025;cropland;Monoculture (blé);
France;PROVENCE-ALPES-COTE-D'AZUR;ALPES-DE-HAUTE-PROVENCE;4;4157;Puimoisson;;RMQS_2024;43.8921670756657;6.10461897406734;712;24/04/2024;28/05/2024;cropland;Culture de coriande;
France;PROVENCE-ALPES-COTE-D'AZUR;VAUCLUSE;84;84028;Cairanne;;RMQS_2024;44.2166800911093;4.92701588816509;112;28/03/2024;22/04/2024;cropland;Culture;
France;AUVERGNE-RHONE-ALPES;ALLIER;3;3006;Arfeuilles;Precontemps;RMQS_2025;46.10694484;3.772222043;690;05/06/2025;10/07/2025;woodland;Forêt;
France;AUVERGNE-RHONE-ALPES;DROME;26;26017;Aucelon;;RMQS_2024;44.6346263421969;5.34894544254264;751;23/04/2024;27/05/2024;woodland;Chênaie claire;
France;AUVERGNE-RHONE-ALPES;HAUTE-LOIRE;43;43126;Malrevers;Vernusse;RMQS_2025;45.09666668;3.9494442;760;29/04/2025;27/05/2025;woodland;Forêt;
France;AUVERGNE-RHONE-ALPES;HAUTE-SAVOIE;74;74102;Dingy-Saint-Clair;Ruisseau de Tasset;RMQS_2025;45.90388844;6.241667222;703;15/05/2025;12/06/2025;woodland;Hêtraie-Épicéa;
France;AUVERGNE-RHONE-ALPES;ISERE;38;38499;Susville;;RMQS_2025;44.91138836;5.767777213;1117;18/06/2025;16/07/2025;woodland;Hêtraie-sapinière;
France;AUVERGNE-RHONE-ALPES;PUY-DE-DOME;63;63020;Aurieres;;RMQS_2024;45.6779077470276;2.94301610784092;985;06/06/2024;10/07/2024;woodland;Forêt mixte;
France;BOURGOGNE-FRANCHE-COMTE;HAUTE-SAONE;70;70364;Montjustin-Et-Velotte;;RMQS_2024;47.6294797750949;6.37142360891853;289;28/05/2024;27/06/2024;woodland;Forêt;
France;BOURGOGNE-FRANCHE-COMTE;YONNE;89;89024;Auxerre;;RMQS_2024;47.836519711785;3.60554545922775;182;24/04/2024;24/05/2024;woodland;Forêt mixte;
France;BOURGOGNE-FRANCHE-COMTE;YONNE;89;89309;Pont-Sur-Yonne;;RMQS_2024;48.2742531650272;3.18548869500691;154;23/04/2024;23/05/2024;woodland;Forêt;
France;CENTRE-VAL-DE-LOIRE;LOIR-ET-CHER;41;41238;Savigny-Sur-Braye;;RMQS_2024;47.8334896790882;0.826715632239393;136;27/03/2024;25/04/2024;woodland;Forêt mixte;
France;GRAND-EST;ARDENNES;8;8490;Vouziers;Le Chalan;RMQS_2025;49.4013889;4.745555601;137;20/05/2025;18/06/2025;woodland;Forêt feuillus;
France;GRAND-EST;ARIEGE;9;9029;Aulus-les-Bains;;RMQS_2024;42.8033485412598;1.34712195396423;1218;18/06/2024;17/07/2024;woodland;Hetraie;
France;GRAND-EST;HAUTE-MARNE;52;52247;Illoud;;RMQS_2024;48.230551833153;5.55313038104552;435;12/06/2024;12/07/2024;woodland;Forêt mixte;
France;GRAND-EST;HAUTE-MARNE;52;52540;Vitry-En-Montagne;;RMQS_2024;47.8106367801133;5.10079251722604;450;11/06/2024;11/07/2024;woodland;Forêt;
France;GRAND-EST;MEURTHE-ET-MOSELLE;54;54363;Mercy-Le-Haut;;RMQS_2024;49.3740703250416;5.84561377272516;365;04/06/2024;04/07/2024;woodland;Forêt mixte;
France;GRAND-EST;MEUSE;55;55289;Levoncourt;;RMQS_2024;47.4531196404966;7.20806698950873;514;27/05/2024;26/06/2024;woodland;Forêt mixte;
France;GRAND-EST;MEUSE;55;55506;Thillombois;;RMQS_2025;48.9551256;5.3796215;285;21/05/2025;19/06/2025;woodland;Forêt;
France;GRAND-EST;MOSELLE;57;57579;Rhodes;;RMQS_2025;48.74972216;6.908611333;283;03/07/2025;31/07/2025;woodland;Forêt feuillus;
France;NORMANDIE;SEINE-MARITIME;76;76289;Saint-Martin-de-l'If;Betteville;RMQS_2025;49.55861101;0.775831982;97;15/04/2025;15/05/2025;woodland;Hêtraie;
France;NOUVELLE-AQUITAINE;CHARENTE;16;16337;Saint-Maurice-Des-Lions;;RMQS_2024;45.9598382118547;0.672536029377586;222;11/04/2024;07/05/2024;woodland;Forêt mixte;
France;NOUVELLE-AQUITAINE;DORDOGNE;24;24073;Cales;;RMQS_2024;44.8178511311097;1.51554524633862;202;10/04/2024;06/05/2024;woodland;Forêt mixte;
France;NOUVELLE-AQUITAINE;PYRENEES-ATLANTIQUES;64;64394;Montpezat;;RMQS_2025;43.49944405; -0.046389635;258;27/03/2025;24/04/2025;woodland;Chataîgneraie;
France;OCCITANIE;AUDE;11;11142;Festes-et-Saint-Andre;;RMQS_2024;42.9518241882324;2.12771511077881;528;13/05/2024;10/06/2024;woodland;Chênaie/ Érablaie;
France;OCCITANIE;AVEYRON;12;12025;Belmont-sur-Rance;;RMQS_2024;43.8125780995336;2.72179965795729;506;08/04/2024;06/05/2024;woodland;Chenaie;
France;OCCITANIE;AVEYRON;12;12119;Laguiole;;RMQS_2025;44.67499966;2.928888346;1318;05/06/2025;02/07/2025;woodland;Hêtraie;
France;OCCITANIE;GARD;30;30327;Tharaux;Proche Belvédère de Tharaux;RMQS_2025;44.22694438;4.325000437;335;03/04/2025;28/04/2025;woodland;Chenaie verte;
France;OCCITANIE;TARN-ET-GARONNE;82;82029;Castanet;;RMQS_2025;44.24555479;1.923611072;426;08/04/2025;06/05/2025;woodland;Forêt feuillus;
France;PAYS DE LA LOIRE;SARTHE;72;72018;Avesnes-En-Saosnois;;RMQS_2024;48.2601626337537;0.383482346651963;89;28/03/2024;25/04/2024;woodland;Forêt mixte;
France;PROVENCE-ALPES-COTE-D'AZUR;ALPES-DE-HAUTE-PROVENCE;4;4042;Castellet-les-Sausses;Col du Fâ;RMQS_2025;44.01277718;6.711109902;1500;03/07/2025;31/07/2025;woodland;Hêtraie;
France;PROVENCE-ALPES-COTE-D'AZUR;ALPES-MARITIMES;6;6129;Saint-Sauveur-sur-Tinee;Vallon de Mollières;RMQS_2025;44.12891903;7.121486168;875;14/05/2025;11/06/2025;woodland;Ancienne châtaigneraie sur terrasse;
France;NOUVELLE-AQUITAINE;DEUX-SEVRES;79;79112;Epannes;;RMQS_2025;46.22144876;-0.579361751;23;05/03/2025;01/04/2025;woodland;Friche;
France;AUVERGNE-RHONE-ALPES;AIN;1;1058;Bregnier-Cordon;;RMQS_2024;45.6401693491095;5.61003921649128;209;11/04/2024;07/05/2024;grassland;Friche humide;
France;PROVENCE-ALPES-COTE-D'AZUR;VAUCLUSE;84;84065;Lauris;;RMQS_2024;43.7733624323249;5.30087879165883;292;25/03/2024;22/04/2024;schrubland;Garrigue;
France;GRAND-EST;AUBE;10;10340;Saint-Germain;;RMQS_2025;48.256982;4.043257;115;13/03/2025;11/04/2025;grassland;Jachère;
France;OCCITANIE;LOZERE;48;48171;Saint-Martin-de-Lansuscle;;RMQS_2024;44.2375443985216;3.7226445983764;928;14/06/2024;10/07/2024;schrubland;Lande à bruyère / fougeraie;
France;AUVERGNE-RHONE-ALPES;HAUTE-SAVOIE;74;74056;Chamonix-Mont-Blanc;La Jonction;RMQS_2025;45.88500191;6.850114629;2022;23/07/2025;20/08/2025;schrubland;Lande à rhododendrons;
France;OCCITANIE;AUDE;11;11305;Quintillan;;RMQS_2024;42.949275970459;2.7153799533844;349;14/05/2024;10/06/2024;schrubland;Maquis;
France;ILE-DE-FRANCE;PARIS;75;75109;Paris;;RMQS_2024;48.844838275277;2.33579524769974;47;22/04/2024;22/05/2024;urban park;Parc urbain;
France;PROVENCE-ALPES-COTE-D'AZUR;BOUCHES-DU-RHONE;13;13103;Salon-de-Provence;;RMQS_2025;43.6375659;5.1083985;102;21/03/2025;17/04/2025;urban park;Parc urbain;
France;PROVENCE-ALPES-COTE-D'AZUR;BOUCHES-DU-RHONE;13;13004;Arles;;RMQS_2024;43.6487932757976;4.50250101102574;0;12/03/2024;15/04/2024;grassland;Pelouse écorchée à salicorne;
France;AUVERGNE-RHONE-ALPES;ISERE;38;38302;Le-Perier;;RMQS_2024;44.9048619493119;5.96937133617335;1888;06/08/2024;10/09/2024;grassland;Pelouse alpine;
France;OCCITANIE;PYRENEES-ORIENTALES;66;66146;Porta;;RMQS_2024;42.5280876159668;1.73446702957153;2267;24/06/2024;29/07/2024;grassland;Pelouse alpine;
France;AUVERGNE-RHONE-ALPES;CANTAL;15;15001;Allanche;;RMQS_2025;45.24946662;2.936229416;1129;04/06/2025;02/07/2025;woodland;Sylviculture (Pin);
France;CENTRE-VAL-DE-LOIRE;CHER;18;18067;Clemont;;RMQS_2025;47.5558764;2.3232578;158;25/06/2025;25/07/2025;woodland;Pinède (plantation);
France;NOUVELLE-AQUITAINE;LANDES;40;40105;Garein;;RMQS_2025;44.05972178; -0.668889748;92;08/04/2025;29/04/2025;woodland;Pinède (plantation);
France;NOUVELLE-AQUITAINE;LANDES;40;40287;Sanguinet;;RMQS_2025;44.47916644; -1.093611401;23;09/04/2025;05/05/2025;woodland;Pinède (plantation);
