species,mean_BL
Trechus quadristriatus,3.6857142857142855
Trechus rubens,5.75
Trechus subnotatus,4.75
Trichotichnus laevicollis,7.576666666666666
Trichotichnus nitens,8
Zabrus consanguineus,15.5
Zabrus curtus,15
Zabrus ignavus,13
Zabrus inflatus,15.5
Zabrus tenebrioides,17.075
Zuphium olens,8.25
