scenario_family,scenario,baseline_scenario,unit_type,iter,coverage_estimator,mean,p10,median,p90
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,16,coverage_zhanghuang,0.8253383468929205,0.6263888888888889,0.8891574442300519,1
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,17,coverage_chao,0.8308022464201053,0.6238157894736842,0.8895864661654136,1
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,17,coverage_turing,0.8065192943284166,0.5269230769230769,0.8775,0.9796978629329403
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,17,coverage_zhanghuang,0.8317226257203687,0.625,0.8895470919801247,1
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,18,coverage_chao,0.8298875802866217,0.625,0.9040204678362573,1
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,18,coverage_turing,0.8059587177523995,0.5700000000000001,0.8848684210526316,0.9832442888725129
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,18,coverage_zhanghuang,0.8312332068943903,0.6263888888888889,0.9071770507403443,1
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,19,coverage_chao,0.8214170343110864,0.6097368421052631,0.9062474166437036,1
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,19,coverage_turing,0.7979874359062349,0.5700000000000001,0.8956442831215972,0.9844202898550725
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,19,coverage_zhanghuang,0.8218628947889622,0.6138888888888889,0.9083709357466414,1
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,20,coverage_chao,0.8249774262623659,0.625,0.893583042973287,0.9933334009493286
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,20,coverage_turing,0.8015034121690991,0.5700000000000001,0.8733333333333333,0.9868879472693033
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,20,coverage_zhanghuang,0.8260749628016637,0.6263888888888889,0.893583042973287,1
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,21,coverage_chao,0.8355674516245862,0.6606481481481481,0.9040204678362573,1
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,21,coverage_turing,0.8096013889173033,0.6,0.8804761904761904,0.9802442528735632
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,21,coverage_zhanghuang,0.8370077455740306,0.6612433862433862,0.9057744360902256,1
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,22,coverage_chao,0.8421819354004708,0.6721153846153847,0.9062474166437036,1
