station;date;Latitude;Longitude;Altitude
1126;28/04/2025;46.82939554;1.064786835;93
2186;23/04/2025;43.22370676;0.554718033;380
438;14/04/2025;48.66785149;-0.71855261;200
1747;07/04/2025;44.670287;1.111486004;246
153;15/05/2025;49.55861101;0.775831982;97
2161;15/04/2025;43.37940364;3.306473486;36
1517;28/04/2025;45.498247;5.395375696;441
1882;05/06/2025;44.24530388;2.726739151;790
1657;08/04/2025;44.941649;0.090381004;82
1878;06/05/2025;44.24555479;1.923611072;426
1948;31/07/2025;44.01277718;6.711109902;1500
325;18/03/2025;48.98206549;0.572704795;193
1402;20/08/2025;45.88500191;6.850114629;2022
1578;07/04/2025;45.240327;0.693751999;173
997;22/04/2025;47.2671231;1.9009805;102
401;30/07/2025;48.83142232;4.500371306;90
903;25/07/2025;47.5558764;2.3232578;158
970;28/04/2025;47.36287525;5.71363103;238
10594;16/06/2025;48.31916781;7.419770182;266
1399;12/06/2025;45.90388844;6.241667222;703
647;16/06/2025;48.21201181;6.19833365;356
594;16/06/2025;48.3047154;7.5113641;163
1283;01/04/2025;46.22144876;-0.579361751;23
1584;06/05/2025;45.25098014;1.916889536;550
946;15/04/2025;47.40031524;0.624080303;92
1911;29/04/2025;44.05972178;-0.668889748;92
509;16/04/2025;48.56097401;1.661079158;151
2269;04/08/2025;42.77355489;-0.013660068;1575
557;28/04/2025;48.38486088;-0.483534692;275
1107;28/04/2025;46.90951885;6.316513081;812
1295;25/04/2025;46.25880373;1.908024687;353
1756;02/07/2025;44.67499966;2.928888346;1318
2110;23/04/2025;43.52529907;2.127940412;215
199;04/06/2025;49.42495105;2.32278617;80
612;24/04/2025;48.2175413;-1.337997825;97
2207;16/04/2025;43.16832932;6.249752146;55
1264;15/04/2025;46.38884502;4.195975883;286
1635;27/05/2025;45.09666668;3.9494442;760
680;31/03/2025;48.12044509;0.816313194;190
2099;24/04/2025;43.49944405;-0.046389635;258
899;09/04/2025;47.5477886;1.466212932;90
663;18/06/2025;48.01701723;-2.826330827;110
418;19/06/2025;48.4614379;-5.049546908;30
1571;06/05/2025;45.204736;-0.756250999;2
803;22/05/2025;47.84018663;3.179599185;205
939;03/04/2025;47.3670454;-0.853735663;72
277;15/05/2025;49.13732052;1.45211861;40
147;07/05/2025;49.50375474;-1.651488949;131
412;31/07/2025;48.74972216;6.908611333;283
2172;16/04/2025;43.31055514;6.059722061;322
53;04/06/2025;50.28536452;2.994858636;40
1421;03/06/2025;45.82771549;2.323432828;697
637;11/04/2025;48.256982;4.043257;115
1764;28/05/2025;44.65343699;4.53268626;723
1904;11/06/2025;44.12891903;7.121486168;875
2079;17/04/2025;43.6375659;5.1083985;102
1778;05/05/2025;44.47916644;-1.093611401;23
688;09/05/2025;48.1231327;2.5369967;83
1685;16/07/2025;44.91138836;5.767777213;1117
1890;28/04/2025;44.22694438;4.325000437;335
347;19/06/2025;48.9551256;5.3796215;285
1238;29/04/2025;46.35041011;-1.211651316;3
210;18/06/2025;49.4013889;4.745555601;137
1216;23/04/2025;46.54643177;2.94824303;338
