DEPARTEMENT;CD_DEPT;NOM_LOCALITE;LIEU-DIT;ALTITUDE;HABITAT;REMARQUE_STATION;FAMILLE;LB_NOM;NOM_VALIDE;CD_COLLECTION;NOM_CITE;male;femelle;ABONDANCE_TOTALE;remarque;A VERIFIER/PHOTO;DETERMINATEUR;MASSE;
TARN;81;Belcastel;;579;ouvert;;Carabidae;Anchomenus dorsalis;Anchomenus dorsalis (Pontoppidan, 1763);LABR-43;Anchomenus dorsalis;;1;1;oui;;L.ABRAHAM;10.9;
TARN;81;Belcastel;;579;ouvert;;Carabidae;Anchomenus dorsalis;Anchomenus dorsalis (Pontoppidan, 1763);LABR-44;Anchomenus dorsalis;1;;1;oui;;L.ABRAHAM;10.3;
TARN;81;Belcastel;;579;ouvert;;Carabidae;Anchomenus dorsalis;Anchomenus dorsalis (Pontoppidan, 1763);LABR-45;Anchomenus dorsalis;1;;1;oui;;L.ABRAHAM;6.4;
TARN;81;Belcastel;;579;ouvert;;Carabidae;Anchomenus dorsalis;Anchomenus dorsalis (Pontoppidan, 1763);LABR-46;Anchomenus dorsalis;1;;1;oui;;L.ABRAHAM;7.3;
TARN;81;Belcastel;;579;ouvert;;Carabidae;Parophonus maculicornis;Parophonus maculicornis (Duftschmid, 1812);LABR-47;Parophonus maculicornis;;1;1;oui;;L.ABRAHAM;12.4;
TARN;81;Belcastel;;579;ouvert;;Carabidae;Parophonus maculicornis;Parophonus maculicornis (Duftschmid, 1812);LABR-48;Parophonus maculicornis;1;;1;oui;;L.ABRAHAM;13.2;
TARN;81;Belcastel;;579;ouvert;;Carabidae;Calathus fuscipes;Calathus fuscipes (Goeze, 1777);LABR-49;Calathus fuscipes;1;;1;oui;;L.ABRAHAM;42;
TARN;81;Belcastel;;579;ouvert;;Carabidae;Amara aenea;Amara aenea (De Geer, 1774);LABR-50;Amara aenea;;1;1;oui;;L.ABRAHAM;16;
ALPES-DE-HAUTE-PROVENCE;4;Puimoisson;;712;ouvert;;Carabidae;Amara aenea;Amara aenea (De Geer, 1774);LABR-53;Amara aenea;1;;1;oui;;L.ABRAHAM;30;
ALPES-DE-HAUTE-PROVENCE;4;Puimoisson;;712;ouvert;;Carabidae;Poecilus versicolor;Poecilus versicolor (Sturm, 1824);LABR-54;Poecilus versicolor;;1;1;oui;;L.ABRAHAM;127;
ALPES-DE-HAUTE-PROVENCE;4;Puimoisson;;712;ouvert;;Carabidae;Poecilus versicolor;Poecilus versicolor (Sturm, 1824);LABR-55;Poecilus versicolor;1;;1;oui;;L.ABRAHAM;102;
ALPES-DE-HAUTE-PROVENCE;4;Puimoisson;;712;ouvert;;Carabidae;Poecilus sericeus;Poecilus sericeus Fischer von Waldheim, 1824;LABR-56;Poecilus sericeus;;1;1;oui;;L.ABRAHAM;134;
ALPES-DE-HAUTE-PROVENCE;4;Puimoisson;;712;ouvert;;Carabidae;Poecilus sericeus;Poecilus sericeus Fischer von Waldheim, 1824;LABR-57;Poecilus sericeus;;1;1;oui;;L.ABRAHAM;136;
ALPES-DE-HAUTE-PROVENCE;4;Puimoisson;;712;ouvert;;Carabidae;Poecilus sericeus;Poecilus sericeus Fischer von Waldheim, 1824;LABR-58;Poecilus sericeus;;1;1;oui;;L.ABRAHAM;121;
ALPES-DE-HAUTE-PROVENCE;4;Puimoisson;;712;ouvert;;Carabidae;Poecilus sericeus;Poecilus sericeus Fischer von Waldheim, 1824;LABR-59;Poecilus sericeus;;1;1;oui;;L.ABRAHAM;113;
ALPES-DE-HAUTE-PROVENCE;4;Puimoisson;;712;ouvert;;Carabidae;Poecilus sericeus;Poecilus sericeus Fischer von Waldheim, 1824;LABR-60;Poecilus sericeus;;1;1;oui;;L.ABRAHAM;94;
ALPES-DE-HAUTE-PROVENCE;4;Puimoisson;;712;ouvert;;Carabidae;Poecilus sericeus;Poecilus sericeus Fischer von Waldheim, 1824;LABR-61;Poecilus sericeus;;1;1;oui;;L.ABRAHAM;100;
ALPES-DE-HAUTE-PROVENCE;4;Puimoisson;;712;ouvert;;Carabidae;Poecilus sericeus;Poecilus sericeus Fischer von Waldheim, 1824;LABR-62;Poecilus sericeus;1;;1;oui;;L.ABRAHAM;84;
ALPES-DE-HAUTE-PROVENCE;4;Puimoisson;;712;ouvert;;Carabidae;Poecilus sericeus;Poecilus sericeus Fischer von Waldheim, 1824;LABR-63;Poecilus sericeus;1;;1;oui;;L.ABRAHAM;146;
ALPES-DE-HAUTE-PROVENCE;4;Puimoisson;;712;ouvert;;Carabidae;Poecilus sericeus;Poecilus sericeus Fischer von Waldheim, 1824;LABR-64;Poecilus sericeus;1;;1;oui;;L.ABRAHAM;71;
ALPES-DE-HAUTE-PROVENCE;4;Puimoisson;;712;ouvert;;Carabidae;Poecilus sericeus;Poecilus sericeus Fischer von Waldheim, 1824;LABR-65;Poecilus sericeus;1;;1;oui;;L.ABRAHAM;84;
ALPES-DE-HAUTE-PROVENCE;4;Puimoisson;;712;ouvert;;Carabidae;Poecilus sericeus;Poecilus sericeus Fischer von Waldheim, 1824;LABR-66;Poecilus sericeus;1;;1;oui;;L.ABRAHAM;102;
ALPES-DE-HAUTE-PROVENCE;4;Puimoisson;;712;ouvert;;Carabidae;Poecilus sericeus;Poecilus sericeus Fischer von Waldheim, 1824;LABR-67;Poecilus sericeus;1;;1;oui;;L.ABRAHAM;102;
ALPES-DE-HAUTE-PROVENCE;4;Puimoisson;;712;ouvert;;Carabidae;Poecilus sericeus;Poecilus sericeus Fischer von Waldheim, 1824;LABR-68;Poecilus sericeus;1;;1;oui;;L.ABRAHAM;119;
ALPES-DE-HAUTE-PROVENCE;4;Puimoisson;;712;ouvert;;Carabidae;Poecilus sericeus;Poecilus sericeus Fischer von Waldheim, 1824;LABR-69;Poecilus sericeus;1;;1;oui;;L.ABRAHAM;66;
ALPES-DE-HAUTE-PROVENCE;4;Puimoisson;;712;ouvert;;Carabidae;Calathus fuscipes;Calathus fuscipes (Goeze, 1777);LABR-70;Calathus fuscipes;1;;1;oui;;L.ABRAHAM;86;
ALPES-DE-HAUTE-PROVENCE;4;Puimoisson;;712;ouvert;;Carabidae;Anchomenus dorsalis;Anchomenus dorsalis (Pontoppidan, 1763);LABR-71;Anchomenus dorsalis;1;;1;oui;;L.ABRAHAM;12.5;
