no_campagne;id_site;date_complete;insee_commune;nom_commune;code_dept;site_officiel;x_theo;y_theo;classe_mat1p_million_dexpert;libelle_mat1p_million_dexpert;classe_mat2p_million_dexpert;libelle_mat2p_million_dexpert;classe_mat3p_million_dexpert;libelle_mat3p_million_dexpert;rp_95_nom;rp_2008_nom;rp_95_ger;signific_ger_95;rp_2008_ger;signific_ger_2008;occupation1;desc_code_occupation1;occupation3;desc_code_occupation3
1;78;01/10/2003;80406;HALLENCOURT;80;True;619405.55;6989546.9;510;Residual loam;ND;ND;ND;ND;BRUNISOL limoneux sain, luvique, issu de limon de plateau, cultive;ND;16;BRUNISOL;ND;ND;1;successions culturales;112;systeme de rotations sans prairie sans interculture
1;79;24/09/2003;80123;BOURDON;80;True;635396.61;6989412.99;220;Secondary chalk;ND;ND;ND;ND;RENDOSOL issu d'une craie a  silex, caillouteux, cultive;ND;126;RENDOSOL;ND;ND;1;successions culturales;120;grandes cultures et prairies courte duree
1;80;30/10/2002;80798;VILLERS-BOCAGE;80;True;651387.6;6989278.96;510;Residual loam;ND;ND;ND;ND;BRUNISOL limoneux cultive sain epais battant developpe dans limon de plateaux  sur une faible pente;ND;16;BRUNISOL;ND;ND;1;successions culturales;113;systeme de rotations sans prairie avec interculture
1;81;16/03/2004;80820;WARLOY-BAILLON;80;True;667378.62;6989144.57;510;Residual loam;ND;ND;ND;ND;BRUNISOL luvique limoneux a  limono-argileux cultive, battant;ND;16;BRUNISOL;ND;ND;1;successions culturales;112;systeme de rotations sans prairie sans interculture
1;82;10/03/2004;80560;MONTAUBAN-DE-PICARDIE;80;True;683369.57;6989009.88;510;Residual loam;ND;ND;ND;ND;BRUNISOL limoneux battant sain issu de limons de plateau cultive.;ND;16;BRUNISOL;ND;ND;1;successions culturales;112;systeme de rotations sans prairie sans interculture
1;83;19/09/2003;80552;MOISLAINS;80;True;699360.42;6988875.08;510;Residual loam;220;Secondary chalk;ND;ND;BRUNISOL luvique limoneux,  legerement en pente peu caillouteux cultive issu de limons de plateau;ND;16;BRUNISOL;ND;ND;1;successions culturales;112;systeme de rotations sans prairie sans interculture
1;84;28/08/2003;2100;BONY;2;True;715351.31;6988740.05;520;Eolian loam;ND;ND;ND;ND;BRUNISOL colluvial peu evolue limoneux issu d'un apport colluvial limoneux, dans un vallon cultive;ND;16;BRUNISOL;ND;ND;1;successions culturales;112;systeme de rotations sans prairie sans interculture
1;85;29/08/2003;2095;BOHAIN-EN-VERMANDOIS;2;True;731342.25;6988604.77;510;Residual loam;ND;ND;ND;ND;LUVISOL erode limono-argileux a  drainage modere sur plateau, cultive;ND;69;LUVISOL;ND;ND;1;successions culturales;112;systeme de rotations sans prairie sans interculture
1;86;11/08/2003;2298;ETREUX;2;True;747333.15;6988469.16;520;Eolian loam;ND;ND;ND;ND;LUVISOL limoneux a  limono-argileux issu d'un loess en haut petit versant, cultive;ND;69;LUVISOL;ND;ND;1;successions culturales;112;systeme de rotations sans prairie sans interculture
1;87;31/10/2003;2312;LA FLAMENGRIE;2;True;763324.02;6988333.31;510;Residual loam;ND;ND;ND;ND;LUVISOL degrade limoneux a  limono-argileux tres hydromorphe sur plateau sous prairie;ND;70;LUVISOL DEGRADE;ND;ND;2;surfaces toujours en herbe;220;STH > 10 ans naturelle ou semee
