analyse_desc;PARAM;valeur;unite;STATION;VILLE;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Fe;0.005;cmol+/kg;1141;TAGNIERE;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Fe;0.005;cmol+/kg;157;MENERVAL;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Fe;0.01;cmol+/kg;1694;LANTON;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Fe;0.005;cmol+/kg;2021;BELMONT-SUR-RANCE;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Fe;0.006;cmol+/kg;1706;CALES;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Fe;0.005;cmol+/kg;1556;PEAGE-DE-ROUSSILLON;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Fe;0.009;cmol+/kg;730;MAISONCELLES-DU-MAINE;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Fe;0.027;cmol+/kg;1372;SAINT-MAURICE-DES-LIONS;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Fe;0.005;cmol+/kg;1477;BREGNIER-CORDON;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Fe;0.005;cmol+/kg;1030;PLAINE;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Fe;0.0072;cmol+/kg;788;MEZERAY;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Fe;0.005;cmol+/kg;1237;TRANCHE-SUR-MER;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Fe;0.0069;cmol+/kg;2142;LESCAR;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Fe;0.005;cmol+/kg;291;SUIPPES;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Fe;0.012;cmol+/kg;2182;LAGOS;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Fe;0.0112;cmol+/kg;827;ILE-D'ARZ;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Fe;0.0131;cmol+/kg;391;PARIS;6E;ARRONDISSEMENT
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Fe;0.0108;cmol+/kg;633;PONT-SUR-YONNE;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Fe;0.0071;cmol+/kg;1768;AUCELON;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Fe;0.0958;cmol+/kg;805;AUXERRE;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Fe;0.0059;cmol+/kg;1992;PUIMOISSON;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Fe;0.0052;cmol+/kg;476;DAHLENHEIM;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Fe;0.005;cmol+/kg;1996;LE;MAS;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Fe;0.005;cmol+/kg;2260;QUINTILLAN;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Fe;0.006;cmol+/kg;137;CRECY-SUR-SERRE;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Fe;0.005;cmol+/kg;2257;FESTES-ET-SAINT-ANDRE;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Fe;0.005;cmol+/kg;1058;LOSNE;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Fe;0.005;cmol+/kg;1064;COMBES;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Fe;0.0063;cmol+/kg;1310;VONNAS;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Fe;0.005;cmol+/kg;1274;CHENS-SUR-LEMAN;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Fe;0.026;cmol+/kg;1090;BENGY-SUR-CRAON;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Fe;0.005;cmol+/kg;1174;DREVANT;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Fe;0.0092;cmol+/kg;926;LEVONCOURT;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Fe;0.0144;cmol+/kg;870;MONTJUSTIN-ET-VELOTTE;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Fe;0.005;cmol+/kg;1837;BELCASTEL;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Fe;0.005;cmol+/kg;400;BUSSY-LETTRE;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Fe;0.005;cmol+/kg;1549;AUZON;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Fe;0.017;cmol+/kg;215;MERCY-LE-HAUT;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Fe;0.0206;cmol+/kg;1464;AURIERES;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Fe;0.005;cmol+/kg;288;BELVAL;SOUS;CHATILLON
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Fe;0.0072;cmol+/kg;1587;TRIZAC;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Fe;0.0104;cmol+/kg;812;VITRY-EN-MONTAGNE;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Fe;0.0054;cmol+/kg;644;ILLOUD;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Fe;0.0176;cmol+/kg;1677;SAINT-FRONT;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Fe;0.0177;cmol+/kg;1887;SAINT-MARTIN-DE-LANSUSCLE;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Fe;0.0058;cmol+/kg;2276;AULUS-LES-BAINS;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Fe;0.0278;cmol+/kg;2312;PORTA;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Fe;0.005;cmol+/kg;1686;PERIER;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;K;0.2914;cmol+/kg;1366;MAZERAY;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;K;0.7279;cmol+/kg;1826;GREZET-CAVAGNAN;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;K;0.5116;cmol+/kg;2076;ARLES;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;K;0.3096;cmol+/kg;2011;GOUTZ;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;K;0.4108;cmol+/kg;1875;CASTELNAU-MONTRATIER;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;K;0.1566;cmol+/kg;1537;EYZERAC;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;K;0.2528;cmol+/kg;1166;SAINT-PIERRE-DE-MAILLE;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;K;0.7511;cmol+/kg;1660;SAINT-LAURENT-DES-BATONS;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;K;0.6935;cmol+/kg;1491;PLASSAC-ROUFFIAC;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;K;0.5473;cmol+/kg;1243;SOUVIGNE;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;K;1.269;cmol+/kg;609;BEDEE;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;K;0.2882;cmol+/kg;2034;LAURIS;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;K;0.4094;cmol+/kg;408;SAIZERAIS;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;K;0.1338;cmol+/kg;792;SAVIGNY-SUR-BRAYE;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;K;0.5158;cmol+/kg;2205;EVENOS;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;K;0.4187;cmol+/kg;620;AVESNES-EN-SAOSNOIS;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;K;0.4933;cmol+/kg;1893;CAIRANNE;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;K;0.4843;cmol+/kg;223;SAINTE-MARGUERITE-D'ELLE;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;K;0.5224;cmol+/kg;1180;MALTAT;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;K;0.2595;cmol+/kg;152;LINTOT;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;K;0.4836;cmol+/kg;423;GUICLAN;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;K;0.1496;cmol+/kg;1141;TAGNIERE;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;K;0.2332;cmol+/kg;157;MENERVAL;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;K;0.099;cmol+/kg;1694;LANTON;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;K;0.269;cmol+/kg;2021;BELMONT-SUR-RANCE;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;K;0.3349;cmol+/kg;1706;CALES;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;K;0.2845;cmol+/kg;1556;PEAGE-DE-ROUSSILLON;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;K;0.3368;cmol+/kg;730;MAISONCELLES-DU-MAINE;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;K;0.3584;cmol+/kg;1372;SAINT-MAURICE-DES-LIONS;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;K;0.2164;cmol+/kg;1477;BREGNIER-CORDON;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;K;0.3974;cmol+/kg;1030;PLAINE;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;K;0.1146;cmol+/kg;788;MEZERAY;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;K;0.8177;cmol+/kg;1237;TRANCHE-SUR-MER;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;K;0.3612;cmol+/kg;2142;LESCAR;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;K;0.2595;cmol+/kg;291;SUIPPES;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;K;0.6235;cmol+/kg;2182;LAGOS;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;K;0.2688;cmol+/kg;827;ILE-D'ARZ;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;K;0.1429;cmol+/kg;391;PARIS;6E;ARRONDISSEMENT
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;K;0.2267;cmol+/kg;633;PONT-SUR-YONNE;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;K;0.6686;cmol+/kg;1768;AUCELON;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Mg;0.2271;cmol+/kg;805;AUXERRE;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Mg;0.5267;cmol+/kg;1992;PUIMOISSON;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Mg;1.491;cmol+/kg;476;DAHLENHEIM;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Mg;1.414;cmol+/kg;1996;LE;MAS;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Mg;3.748;cmol+/kg;2260;QUINTILLAN;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Mg;0.8247;cmol+/kg;137;CRECY-SUR-SERRE;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Mg;0.4843;cmol+/kg;2257;FESTES-ET-SAINT-ANDRE;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Mg;0.3537;cmol+/kg;1058;LOSNE;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Mg;1.968;cmol+/kg;1064;COMBES;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Mg;0.5709;cmol+/kg;1310;VONNAS;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Mg;1.095;cmol+/kg;1274;CHENS-SUR-LEMAN;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Mg;1.53;cmol+/kg;1090;BENGY-SUR-CRAON;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Mg;2.515;cmol+/kg;1174;DREVANT;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Mg;0.5408;cmol+/kg;926;LEVONCOURT;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Mg;1.175;cmol+/kg;870;MONTJUSTIN-ET-VELOTTE;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Mg;0.511;cmol+/kg;1837;BELCASTEL;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Mg;0.605;cmol+/kg;400;BUSSY-LETTRE;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Mg;3.087;cmol+/kg;1549;AUZON;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Mg;1.752;cmol+/kg;215;MERCY-LE-HAUT;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Mg;1.133;cmol+/kg;1464;AURIERES;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Mg;2.733;cmol+/kg;288;BELVAL;SOUS;CHATILLON
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Mg;6.591;cmol+/kg;1587;TRIZAC;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Mg;0.8636;cmol+/kg;812;VITRY-EN-MONTAGNE;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Mg;0.6182;cmol+/kg;644;ILLOUD;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Mg;2.014;cmol+/kg;1677;SAINT-FRONT;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Mg;0.2223;cmol+/kg;1887;SAINT-MARTIN-DE-LANSUSCLE;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Mg;4.576;cmol+/kg;2276;AULUS-LES-BAINS;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Mg;0.4722;cmol+/kg;2312;PORTA;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Mg;2.449;cmol+/kg;1686;PERIER;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Mn;0.0058;cmol+/kg;805;AUXERRE;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Mn;0.005;cmol+/kg;1992;PUIMOISSON;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Mn;0.005;cmol+/kg;476;DAHLENHEIM;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Mn;0.005;cmol+/kg;1996;LE;MAS;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Mn;0.1202;cmol+/kg;2260;QUINTILLAN;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Mn;0.0251;cmol+/kg;137;CRECY-SUR-SERRE;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Mn;0.0201;cmol+/kg;2257;FESTES-ET-SAINT-ANDRE;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Mn;0.0938;cmol+/kg;1058;LOSNE;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Mn;0.025;cmol+/kg;1064;COMBES;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Mn;0.005;cmol+/kg;1310;VONNAS;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Mn;0.0613;cmol+/kg;1274;CHENS-SUR-LEMAN;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Mn;0.006;cmol+/kg;1090;BENGY-SUR-CRAON;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Mn;0.0172;cmol+/kg;1174;DREVANT;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Mn;0.2651;cmol+/kg;926;LEVONCOURT;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Mn;0.1308;cmol+/kg;870;MONTJUSTIN-ET-VELOTTE;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Mn;0.1446;cmol+/kg;1837;BELCASTEL;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Mn;0.005;cmol+/kg;400;BUSSY-LETTRE;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Mn;0.0516;cmol+/kg;1549;AUZON;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Mn;0.023;cmol+/kg;215;MERCY-LE-HAUT;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Mn;0.0497;cmol+/kg;1464;AURIERES;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Mn;0.005;cmol+/kg;288;BELVAL;SOUS;CHATILLON
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Mn;0.0707;cmol+/kg;1587;TRIZAC;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Mn;0.0216;cmol+/kg;812;VITRY-EN-MONTAGNE;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Mn;0.0741;cmol+/kg;644;ILLOUD;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Mn;0.0596;cmol+/kg;1677;SAINT-FRONT;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Mn;0.0191;cmol+/kg;1887;SAINT-MARTIN-DE-LANSUSCLE;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Mn;0.032;cmol+/kg;2276;AULUS-LES-BAINS;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Mn;0.0418;cmol+/kg;2312;PORTA;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Mn;0.0719;cmol+/kg;1686;PERIER;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Mg;0.7225;cmol+/kg;1366;MAZERAY;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Mg;0.7185;cmol+/kg;1826;GREZET-CAVAGNAN;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Mg;7.71;cmol+/kg;2076;ARLES;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Mg;0.8775;cmol+/kg;2011;GOUTZ;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Mg;3.184;cmol+/kg;1875;CASTELNAU-MONTRATIER;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Mg;0.651;cmol+/kg;1537;EYZERAC;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Mg;0.8071;cmol+/kg;1166;SAINT-PIERRE-DE-MAILLE;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Mg;0.7406;cmol+/kg;1660;SAINT-LAURENT-DES-BATONS;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Mg;1.016;cmol+/kg;1491;PLASSAC-ROUFFIAC;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Mg;1.091;cmol+/kg;1243;SOUVIGNE;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Mg;1.859;cmol+/kg;609;BEDEE;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Mg;1.84;cmol+/kg;2034;LAURIS;;
Al, Ca, Fe, Mg, Mn, K (ICP-AES), Na (MP/AES) échang cobaltihexammine-cmol+/kg;Mg;0.7273;cmol+/kg;408;SAIZERAIS;;
