predictor,baseline_ispline_weight,scenario_ispline_weight,delta_ispline_weight,distance,assemblage_id,scenario,scenario_family,baseline_scenario,unit_type,iter
t360_mean,0,0.008889225532000018,0.008889225532000018,Sørensen,isopoda_hand_sorting,species_observed_rare_weighted_10pct,species_error_rare_weighted,species_baseline,species_units,2
Geographic,1.4934468083278216,1.627095838504714,0.13364903017689245,Bray-Curtis,isopoda_hand_sorting,species_observed_congeneric_10pct,species_error_observed_pool,species_baseline,species_units,3
mos,0.82324226445168,0.8387782788331684,0.015536014381488328,Bray-Curtis,isopoda_hand_sorting,species_observed_congeneric_10pct,species_error_observed_pool,species_baseline,species_units,3
p_h,2.6181935689951956,2.4166598654617752,-0.20153370353342037,Bray-Curtis,isopoda_hand_sorting,species_observed_congeneric_10pct,species_error_observed_pool,species_baseline,species_units,3
t360_mean,0.13083909022440868,0.04187049383232341,-0.08896859639208526,Bray-Curtis,isopoda_hand_sorting,species_observed_congeneric_10pct,species_error_observed_pool,species_baseline,species_units,3
Geographic,1.3326915940505473,1.0687637260868874,-0.26392786796365986,Sørensen,isopoda_hand_sorting,species_observed_congeneric_10pct,species_error_observed_pool,species_baseline,species_units,3
mos,0.5831640170613913,0.37752405547911067,-0.20563996158228065,Sørensen,isopoda_hand_sorting,species_observed_congeneric_10pct,species_error_observed_pool,species_baseline,species_units,3
p_h,1.9056512866763833,1.7524371836836907,-0.15321410299269256,Sørensen,isopoda_hand_sorting,species_observed_congeneric_10pct,species_error_observed_pool,species_baseline,species_units,3
t360_mean,0,0.054383865977282286,0.054383865977282286,Sørensen,isopoda_hand_sorting,species_observed_congeneric_10pct,species_error_observed_pool,species_baseline,species_units,3
Geographic,1.4934468083278216,1.4220472553387202,-0.07139955298910139,Bray-Curtis,isopoda_hand_sorting,species_observed_rare_weighted_10pct,species_error_rare_weighted,species_baseline,species_units,3
mos,0.82324226445168,0.764934578599516,-0.05830768585216406,Bray-Curtis,isopoda_hand_sorting,species_observed_rare_weighted_10pct,species_error_rare_weighted,species_baseline,species_units,3
p_h,2.6181935689951956,2.1749059106107347,-0.44328765838446094,Bray-Curtis,isopoda_hand_sorting,species_observed_rare_weighted_10pct,species_error_rare_weighted,species_baseline,species_units,3
