species_key,species_cd_ref,species_label,binomial,genus,famille,total_abundance,n_rows,in_taxref_by_cdref,in_mainland_kept_status,taxref_mainland_label,taxref_direct_fr_status,taxref_nom_valide
cdref:216341,216341,Megalothorax minimus,Megalothorax minimus,Megalothorax,Neelidae,6,5,TRUE,TRUE,Megalothorax minimus,P,Megalothorax minimus
cdref:216006,216006,Metaphorura affinis,Metaphorura affinis,Metaphorura,Tullbergiidae,4,2,TRUE,TRUE,Metaphorura affinis,P,Metaphorura affinis
cdref:215877,215877,Neanura muscorum,Neanura muscorum,Neanura,Neanuridae,2,2,TRUE,TRUE,Neanura muscorum,P,Neanura muscorum
name_fallback:Neelus murinus,NA,Neelus murinus,Neelus murinus,Neelus,Neelidae,1,1,FALSE,FALSE,NA,NA,NA
cdref:216150,216150,Parisotoma notabilis,Parisotoma notabilis,Parisotoma,Isotomidae,402,77,TRUE,TRUE,Parisotoma notabilis,C,Parisotoma notabilis
cdref:216154,216154,Proisotoma minima,Proisotoma minima,Proisotoma,Isotomidae,1,1,TRUE,TRUE,Proisotoma minima,P,Proisotoma minima
cdref:216155,216155,Proisotoma minuta,Proisotoma minuta,Proisotoma,Isotomidae,4,3,TRUE,TRUE,Proisotoma minuta,C,Proisotoma minuta
name_fallback:Proisotomodes debilis,NA,Proisotomodes debilis,Proisotomodes debilis,Proisotomodes,Isotomidae,20,3,FALSE,FALSE,NA,NA,NA
cdref:216206,216206,Pseudosinella alba,Pseudosinella alba,Pseudosinella,Entomobryidae,107,32,TRUE,TRUE,Pseudosinella alba,P,Pseudosinella alba
cdref:216236,216236,Pseudosinella immaculata,Pseudosinella immaculata,Pseudosinella,Entomobryidae,1,1,TRUE,TRUE,Pseudosinella immaculata,P,Pseudosinella immaculata
cdref:216246,216246,Pseudosinella octopunctata,Pseudosinella octopunctata,Pseudosinella,Entomobryidae,1,1,TRUE,TRUE,Pseudosinella octopunctata,P,Pseudosinella octopunctata
cdref:216421,216421,Sminthurides parvulus,Sminthurides parvulus,Sminthurides,Sminthurididae,56,11,TRUE,TRUE,Sminthurides parvulus,P,Sminthurides parvulus
name_fallback:Sminthurides pseudassimilis,NA,Sminthurides pseudassimilis,Sminthurides pseudassimilis,Sminthurides,Sminthurididae,1,1,FALSE,FALSE,NA,NA,NA
cdref:216395,216395,Sminthurinus aureus,Sminthurinus aureus,Sminthurinus,Katiannidae,115,40,TRUE,TRUE,Sminthurinus aureus,P,Sminthurinus aureus
cdref:216396,216396,Sminthurinus elegans,Sminthurinus elegans,Sminthurinus,Katiannidae,21,12,TRUE,TRUE,Sminthurinus elegans,P,Sminthurinus elegans
cdref:216409,216409,Sminthurus viridis,Sminthurus viridis,Sminthurus,Sminthuridae,18,8,TRUE,TRUE,Sminthurus viridis,P,Sminthurus viridis
cdref:216426,216426,Sphaeridia pumilis,Sphaeridia pumilis,Sphaeridia,Sminthurididae,55,26,TRUE,TRUE,Sphaeridia pumilis,C,Sphaeridia pumilis
name_fallback:Stenaphorura denisi,NA,Stenaphorura denisi,Stenaphorura denisi,Stenaphorura,Tullbergiidae,6,4,FALSE,FALSE,NA,NA,NA
cdref:216181,216181,Tetracanthella perezi,Tetracanthella perezi,Tetracanthella,Isotomidae,3,2,TRUE,TRUE,Tetracanthella perezi,P,Tetracanthella perezi
cdref:216329,216329,Tomocerina minuta,Tomocerina minuta,Tomocerina,Tomoceridae,4,3,TRUE,TRUE,Tomocerina minuta,P,Tomocerina minuta
cdref:215856,215856,Triacanthella perfecta,Triacanthella perfecta,Triacanthella,Hypogastruridae,3,1,TRUE,TRUE,Triacanthella perfecta,P,Triacanthella perfecta
name_fallback:Willemia intermedia,NA,Willemia intermedia,Willemia intermedia,Willemia,Hypogastruridae,1,1,FALSE,FALSE,NA,NA,NA
cdref:215867,215867,Xenylla tullbergi,Xenylla tullbergi,Xenylla,Hypogastruridae,1,1,TRUE,TRUE,Xenylla tullbergi,P,Xenylla tullbergi
name_fallback:Xenylla welchi,NA,Xenylla welchi,Xenylla welchi,Xenylla,Hypogastruridae,19,2,FALSE,FALSE,NA,NA,NA
cdref:215868,215868,Xenylla xavieri,Xenylla xavieri,Xenylla,Hypogastruridae,305,3,TRUE,TRUE,Xenylla xavieri,P,Xenylla xavieri
