scenario_family,scenario,baseline_scenario,unit_type,iter,n_units,total_abundance,mean_local_q0,mean_local_q1,mean_local_q2,mean_coverage_chao,p10_coverage_chao,median_coverage_chao,p90_coverage_chao,gamma_taxon_units,mean_occupancy,alpha_baseline,gamma_baseline,occupancy_baseline,delta_alpha,delta_gamma,delta_occupancy,rel_delta_alpha_pct,rel_delta_gamma_pct,rel_delta_occupancy_pct,beta_signature,scenario_label,scenario_group_label
species_error_strict,species_same_genus_observed_rare_weighted_mean_10pct,species_baseline,species_units,7,68,2352,6.102941176470588,3.987471578730814,3.1702500560306413,0.8248673686160186,0.6709311740890688,0.8964285714285715,1,51,0.11966551326412918,5.352941176470588,51,0.104959630911188,0.75,0,0.01470588235294118,14.010989010989013,0,14.010989010989015,Apparent homogenisation,"Rare-weighted
error 10%",Species-level error
species_error_strict,species_same_genus_observed_rare_weighted_mean_10pct,species_baseline,species_units,8,68,2352,6.029411764705882,3.8834887882341738,3.0721764989815044,0.8389829217708047,0.6758160425101214,0.9013888888888889,1,51,0.1182237600922722,5.352941176470588,51,0.104959630911188,0.6764705882352944,0,0.013264129181084203,12.637362637362642,0,12.637362637362642,Apparent homogenisation,"Rare-weighted
error 10%",Species-level error
species_error_strict,species_same_genus_observed_rare_weighted_mean_10pct,species_baseline,species_units,9,68,2352,6.161764705882353,3.9591639661370692,3.1217911362613004,0.8275996976109681,0.6238157894736842,0.9010330745049572,1,51,0.12081891580161477,5.352941176470588,51,0.104959630911188,0.8088235294117654,0,0.015859284890426775,15.109890109890124,0,15.109890109890125,Apparent homogenisation,"Rare-weighted
error 10%",Species-level error
species_error_strict,species_same_genus_observed_rare_weighted_mean_10pct,species_baseline,species_units,10,68,2352,6.044117647058823,3.9106908617539937,3.091788471518454,0.8335277002003462,0.6238157894736842,0.9013888888888889,1,51,0.1185121107266436,5.352941176470588,51,0.104959630911188,0.6911764705882355,0,0.013552479815455598,12.912087912087918,0,12.912087912087916,Apparent homogenisation,"Rare-weighted
error 10%",Species-level error
species_error_strict,species_same_genus_observed_rare_weighted_mean_3pct,species_baseline,species_units,1,68,2352,5.6911764705882355,3.6907303094944472,2.9525754168235983,0.8477821413227761,0.6721153846153847,0.9207575757575758,1,51,0.1115916955017301,5.352941176470588,51,0.104959630911188,0.33823529411764763,0,0.006632064590542108,6.318681318681331,0,6.318681318681327,Apparent homogenisation,species_same_genus_observed_rare_weighted_mean_3pct,NA
species_error_strict,species_same_genus_observed_rare_weighted_mean_3pct,species_baseline,species_units,2,68,2352,5.6911764705882355,3.6777234690819234,2.9430030961723768,0.8462224116884726,0.7002849002849003,0.910235003092146,1,51,0.1115916955017301,5.352941176470588,51,0.104959630911188,0.33823529411764763,0,0.006632064590542108,6.318681318681331,0,6.318681318681327,Apparent homogenisation,species_same_genus_observed_rare_weighted_mean_3pct,NA
species_error_strict,species_same_genus_observed_rare_weighted_mean_3pct,species_baseline,species_units,3,68,2352,5.602941176470588,3.690760864467629,2.9710668611250814,0.8381981476273924,0.7002849002849003,0.9207575757575758,1,51,0.10986159169550172,5.352941176470588,51,0.104959630911188,0.25,0,0.004901960784313722,4.670329670329671,0,4.670329670329667,Apparent homogenisation,species_same_genus_observed_rare_weighted_mean_3pct,NA
species_error_strict,species_same_genus_observed_rare_weighted_mean_3pct,species_baseline,species_units,4,68,2352,5.764705882352941,3.7251606419938166,2.9783283075154983,0.8358212621509088,0.6336348684210527,0.9073934837092732,1,51,0.11303344867358708,5.352941176470588,51,0.104959630911188,0.41176470588235325,0,0.008073817762399085,7.692307692307699,0,7.6923076923077,Apparent homogenisation,species_same_genus_observed_rare_weighted_mean_3pct,NA
species_error_strict,species_same_genus_observed_rare_weighted_mean_3pct,species_baseline,species_units,5,68,2352,5.617647058823529,3.6871215253068828,2.9622863717669645,0.8454823303558168,0.6721153846153847,0.9103174603174603,1,51,0.11014994232987312,5.352941176470588,51,0.104959630911188,0.2647058823529411,0,0.005190311418685117,4.945054945054944,0,4.945054945054942,Apparent homogenisation,species_same_genus_observed_rare_weighted_mean_3pct,NA
species_error_strict,species_same_genus_observed_rare_weighted_mean_3pct,species_baseline,species_units,6,68,2352,5.588235294117647,3.6529260794434224,2.938532390983895,0.8479361949200427,0.7002849002849003,0.9138528138528139,1,51,0.10957324106113032,5.352941176470588,51,0.104959630911188,0.23529411764705888,0,0.0046136101499423265,4.395604395604397,0,4.395604395604392,Apparent homogenisation,species_same_genus_observed_rare_weighted_mean_3pct,NA
species_error_strict,species_same_genus_observed_rare_weighted_mean_3pct,species_baseline,species_units,7,68,2352,5.6911764705882355,3.701297579259455,2.954094294992366,0.8384750192669909,0.6721153846153847,0.9040204678362573,1,51,0.1115916955017301,5.352941176470588,51,0.104959630911188,0.33823529411764763,0,0.006632064590542108,6.318681318681331,0,6.318681318681327,Apparent homogenisation,species_same_genus_observed_rare_weighted_mean_3pct,NA
species_error_strict,species_same_genus_observed_rare_weighted_mean_3pct,species_baseline,species_units,8,68,2352,5.5588235294117645,3.6576718351055675,2.9431000092014212,0.8456348155422624,0.7002849002849003,0.9073934837092732,1,50,0.1111764705882353,5.352941176470588,51,0.104959630911188,0.20588235294117663,-1,0.006216839677047295,3.8461538461538494,-1.9607843137254901,5.923076923076928,Apparent homogenisation,species_same_genus_observed_rare_weighted_mean_3pct,NA
species_error_strict,species_same_genus_observed_rare_weighted_mean_3pct,species_baseline,species_units,9,68,2352,5.647058823529412,3.7063384824195893,2.9679494698677233,0.8378680996453999,0.6336348684210527,0.9079047619047619,1,51,0.11072664359861592,5.352941176470588,51,0.104959630911188,0.29411764705882426,0,0.005767012687427922,5.494505494505509,0,5.494505494505503,Apparent homogenisation,species_same_genus_observed_rare_weighted_mean_3pct,NA
species_error_strict,species_same_genus_observed_rare_weighted_mean_3pct,species_baseline,species_units,10,68,2352,5.705882352941177,3.719332704777743,2.973586165612681,0.8403501941308174,0.6861778846153845,0.9026315789473685,1,50,0.11411764705882353,5.352941176470588,51,0.104959630911188,0.35294117647058876,-1,0.009158016147635534,6.593406593406604,-1.9607843137254901,8.725274725274735,Apparent homogenisation,species_same_genus_observed_rare_weighted_mean_3pct,NA
species_error_strict,species_same_genus_observed_rare_weighted_mean_5pct,species_baseline,species_units,1,68,2352,5.676470588235294,3.707818940416866,2.97463047237716,0.8386534676465983,0.6238157894736842,0.9040204678362573,1,50,0.11352941176470589,5.352941176470588,51,0.104959630911188,0.3235294117647065,-1,0.008569780853517894,6.043956043956056,-1.9607843137254901,8.16483516483518,Apparent homogenisation,species_same_genus_observed_rare_weighted_mean_5pct,NA
species_error_strict,species_same_genus_observed_rare_weighted_mean_5pct,species_baseline,species_units,2,68,2352,5.764705882352941,3.738689651654157,2.9876874190129175,0.8401297495141656,0.6578125,0.9026315789473685,1,51,0.11303344867358708,5.352941176470588,51,0.104959630911188,0.41176470588235325,0,0.008073817762399085,7.692307692307699,0,7.6923076923077,Apparent homogenisation,species_same_genus_observed_rare_weighted_mean_5pct,NA
species_error_strict,species_same_genus_observed_rare_weighted_mean_5pct,species_baseline,species_units,3,68,2352,5.794117647058823,3.7623888307129523,2.9923422865990337,0.8385752569739106,0.6880636604774535,0.9013888888888889,1,50,0.11588235294117646,5.352941176470588,51,0.104959630911188,0.4411764705882355,-1,0.010922722029988466,8.241758241758246,-1.9607843137254901,10.406593406593407,Apparent homogenisation,species_same_genus_observed_rare_weighted_mean_5pct,NA
species_error_strict,species_same_genus_observed_rare_weighted_mean_5pct,species_baseline,species_units,4,68,2352,5.764705882352941,3.734980481197494,2.970845712533676,0.8457766807297746,0.7002849002849003,0.9073934837092732,1,50,0.11529411764705882,5.352941176470588,51,0.104959630911188,0.41176470588235325,-1,0.010334486735870826,7.692307692307699,-1.9607843137254901,9.846153846153854,Apparent homogenisation,species_same_genus_observed_rare_weighted_mean_5pct,NA
species_error_strict,species_same_genus_observed_rare_weighted_mean_5pct,species_baseline,species_units,5,68,2352,5.75,3.75649772979786,3.006026660244737,0.8385846411000197,0.6350961538461538,0.9040204678362573,1,50,0.115,5.352941176470588,51,0.104959630911188,0.39705882352941213,-1,0.010040369088812007,7.417582417582426,-1.9607843137254901,9.565934065934078,Apparent homogenisation,species_same_genus_observed_rare_weighted_mean_5pct,NA
species_error_strict,species_same_genus_observed_rare_weighted_mean_5pct,species_baseline,species_units,6,68,2352,5.75,3.7753203432433686,3.031644719769467,0.8366496952535513,0.625,0.9073934837092732,1,51,0.11274509803921569,5.352941176470588,51,0.104959630911188,0.39705882352941213,0,0.00778546712802769,7.417582417582426,0,7.417582417582426,Apparent homogenisation,species_same_genus_observed_rare_weighted_mean_5pct,NA
species_error_strict,species_same_genus_observed_rare_weighted_mean_5pct,species_baseline,species_units,7,68,2352,5.794117647058823,3.7968485354313706,3.038436140984297,0.8351234415101992,0.625,0.9047619047619048,1,51,0.11361014994232987,5.352941176470588,51,0.104959630911188,0.4411764705882355,0,0.008650519031141876,8.241758241758246,0,8.24175824175825,Apparent homogenisation,species_same_genus_observed_rare_weighted_mean_5pct,NA
species_error_strict,species_same_genus_observed_rare_weighted_mean_5pct,species_baseline,species_units,8,68,2352,5.764705882352941,3.7592472332518287,3.0089823412780663,0.8326937358043832,0.6709311740890688,0.9043557168784029,1,50,0.11529411764705882,5.352941176470588,51,0.104959630911188,0.41176470588235325,-1,0.010334486735870826,7.692307692307699,-1.9607843137254901,9.846153846153854,Apparent homogenisation,species_same_genus_observed_rare_weighted_mean_5pct,NA
species_error_strict,species_same_genus_observed_rare_weighted_mean_5pct,species_baseline,species_units,9,68,2352,5.794117647058823,3.777363008891387,3.028939584725517,0.8370256396859074,0.6238157894736842,0.9021464646464646,1,50,0.11588235294117646,5.352941176470588,51,0.104959630911188,0.4411764705882355,-1,0.010922722029988466,8.241758241758246,-1.9607843137254901,10.406593406593407,Apparent homogenisation,species_same_genus_observed_rare_weighted_mean_5pct,NA
species_error_strict,species_same_genus_observed_rare_weighted_mean_5pct,species_baseline,species_units,10,68,2352,5.735294117647059,3.7661392605489095,3.024642614241519,0.8413997649421928,0.7002849002849003,0.9040204678362573,1,51,0.11245674740484429,5.352941176470588,51,0.104959630911188,0.382352941176471,0,0.0074971164936562945,7.142857142857151,0,7.142857142857152,Apparent homogenisation,species_same_genus_observed_rare_weighted_mean_5pct,NA
species_error_strict,species_same_genus_taxref_mainland_10pct,species_baseline,species_units,1,68,2352,6.852941176470588,4.434834858262803,3.448983285661435,0.7870709480284668,0.5724702077643254,0.8589300569176883,0.9849427679624301,105,0.06526610644257702,5.352941176470588,51,0.104959630911188,1.5,54,-0.03969352446861098,28.021978021978025,105.88235294117646,-37.817896389324964,Apparent differentiation,"TAXREF congeneric
error 10%",Species-level error
species_error_strict,species_same_genus_taxref_mainland_10pct,species_baseline,species_units,2,68,2352,6.926470588235294,4.370059092679923,3.387349068775664,0.7965865746475124,0.6180701754385964,0.862815934065934,0.9680216520744205,119,0.058205635195254575,5.352941176470588,51,0.104959630911188,1.5735294117647065,68,-0.04675399571593342,29.395604395604412,133.33333333333334,-44.54474097331239,Apparent differentiation,"TAXREF congeneric
error 10%",Species-level error
