scenario_family,scenario,baseline_scenario,unit_type,iter,inference,stability,inference_label
species_error_strict,species_difficult_genera_observed_20pct,species_baseline,species_units,6,abundance_cor,1,total abundance
species_error_strict,species_difficult_genera_observed_20pct,species_baseline,species_units,6,q0_cor,0.9929320014071129,q0 richness / number of units
species_error_strict,species_difficult_genera_observed_20pct,species_baseline,species_units,6,q1_cor,0.9874128601793487,Hill q1 / effective units
species_error_strict,species_difficult_genera_observed_20pct,species_baseline,species_units,6,q2_cor,0.9824634644460104,Hill q2 / dominant units
species_error_strict,species_difficult_genera_observed_20pct,species_baseline,species_units,6,coverage_chao_cor,0.9988734791176592,sample coverage Chao
species_error_strict,species_difficult_genera_observed_20pct,species_baseline,species_units,6,bray_curtis_cor,0.9945978450177108,Bray-Curtis abundance distance
species_error_strict,species_difficult_genera_observed_20pct,species_baseline,species_units,6,jaccard_pa_cor,0.9811897490582641,Jaccard presence-absence distance
species_error_strict,species_difficult_genera_observed_20pct,species_baseline,species_units,6,sorensen_pa_cor,0.9837452563630091,Sørensen presence-absence distance
species_error_strict,species_difficult_genera_observed_20pct,species_baseline,species_units,6,procrustes_r2,0.9915833811240613,ordination Procrustes R2
species_error_strict,species_difficult_genera_observed_20pct,species_baseline,species_units,7,abundance_cor,1,total abundance
species_error_strict,species_difficult_genera_observed_20pct,species_baseline,species_units,7,q0_cor,0.9931736975732149,q0 richness / number of units
species_error_strict,species_difficult_genera_observed_20pct,species_baseline,species_units,7,q1_cor,0.9903749426992193,Hill q1 / effective units
species_error_strict,species_difficult_genera_observed_20pct,species_baseline,species_units,7,q2_cor,0.9927766202111754,Hill q2 / dominant units
species_error_strict,species_difficult_genera_observed_20pct,species_baseline,species_units,7,coverage_chao_cor,0.9975713507186375,sample coverage Chao
species_error_strict,species_difficult_genera_observed_20pct,species_baseline,species_units,7,bray_curtis_cor,0.9944891441407755,Bray-Curtis abundance distance
species_error_strict,species_difficult_genera_observed_20pct,species_baseline,species_units,7,jaccard_pa_cor,0.983478266258472,Jaccard presence-absence distance
species_error_strict,species_difficult_genera_observed_20pct,species_baseline,species_units,7,sorensen_pa_cor,0.9854453460960295,Sørensen presence-absence distance
species_error_strict,species_difficult_genera_observed_20pct,species_baseline,species_units,7,procrustes_r2,0.9944764811656914,ordination Procrustes R2
species_error_strict,species_difficult_genera_observed_20pct,species_baseline,species_units,8,abundance_cor,1,total abundance
species_error_strict,species_difficult_genera_observed_20pct,species_baseline,species_units,8,q0_cor,0.9932981721244228,q0 richness / number of units
species_error_strict,species_difficult_genera_observed_20pct,species_baseline,species_units,8,q1_cor,0.9899388657705138,Hill q1 / effective units
species_error_strict,species_difficult_genera_observed_20pct,species_baseline,species_units,8,q2_cor,0.9880887628725504,Hill q2 / dominant units
