scenario_family,scenario,baseline_scenario,iter,term,df,sumsq,r2,f,p,n_units,n_taxa,model
species_error_strict,species_same_genus_observed_3pct,species_baseline,8,mos,1,0.5729902621065044,0.021659429042888676,1.4251857245709179,0.13,66,51,multivariate_margin
species_error_strict,species_same_genus_observed_3pct,species_baseline,8,p_h,1,0.46236732161459315,0.0174778052203622,1.1500357856879682,0.33,66,51,multivariate_margin
species_error_strict,species_same_genus_observed_3pct,species_baseline,9,t360_mean,1,0.3520036820039145,0.013316082953313567,0.8762024555530691,0.69,66,51,multivariate_margin
species_error_strict,species_same_genus_observed_3pct,species_baseline,9,mos,1,0.5620208813146554,0.021260904529393884,1.3989742194643429,0.1,66,51,multivariate_margin
species_error_strict,species_same_genus_observed_3pct,species_baseline,9,p_h,1,0.47286974286451766,0.017888371752957825,1.177060499753611,0.22,66,51,multivariate_margin
species_error_strict,species_same_genus_observed_3pct,species_baseline,10,t360_mean,1,0.3499726500915088,0.013242840218933221,0.8702754063176856,0.61,66,51,multivariate_margin
species_error_strict,species_same_genus_observed_3pct,species_baseline,10,mos,1,0.5822829277908212,0.022033378245214955,1.447960323306714,0.08,66,51,multivariate_margin
species_error_strict,species_same_genus_observed_3pct,species_baseline,10,p_h,1,0.4368843704450178,0.016531548709420064,1.0863983882839678,0.39,66,51,multivariate_margin
species_error_strict,species_same_genus_observed_5pct,species_baseline,1,t360_mean,1,0.3682103417733096,0.013926622733057501,0.9164911357390572,0.66,66,51,multivariate_margin
species_error_strict,species_same_genus_observed_5pct,species_baseline,1,mos,1,0.5818747921969489,0.022007938912786233,1.4483110023205916,0.07,66,51,multivariate_margin
species_error_strict,species_same_genus_observed_5pct,species_baseline,1,p_h,1,0.4523600924942457,0.017109373727305265,1.1259434293356072,0.3,66,51,multivariate_margin
species_error_strict,species_same_genus_observed_5pct,species_baseline,2,t360_mean,1,0.3572425331493996,0.013523124482846257,0.8897212447630403,0.71,66,51,multivariate_margin
species_error_strict,species_same_genus_observed_5pct,species_baseline,2,mos,1,0.5597720582229755,0.02118971433393858,1.394125968246432,0.08,66,51,multivariate_margin
species_error_strict,species_same_genus_observed_5pct,species_baseline,2,p_h,1,0.4858196630894902,0.018390306781936577,1.2099457238860656,0.17,66,51,multivariate_margin
species_error_strict,species_same_genus_observed_5pct,species_baseline,3,t360_mean,1,0.34770525988871626,0.013174622236527368,0.8676322493383477,0.59,66,51,multivariate_margin
species_error_strict,species_same_genus_observed_5pct,species_baseline,3,mos,1,0.587519688121013,0.0222612391598391,1.466043478025457,0.07,66,51,multivariate_margin
species_error_strict,species_same_genus_observed_5pct,species_baseline,3,p_h,1,0.4690048305969796,0.017770687369524717,1.170312224358196,0.22,66,51,multivariate_margin
species_error_strict,species_same_genus_observed_5pct,species_baseline,4,t360_mean,1,0.3419886320564629,0.012950503639667705,0.8519357588983844,0.65,66,51,multivariate_margin
species_error_strict,species_same_genus_observed_5pct,species_baseline,4,mos,1,0.571659973445243,0.021647750459531847,1.4240753278269667,0.1,66,51,multivariate_margin
species_error_strict,species_same_genus_observed_5pct,species_baseline,4,p_h,1,0.473338135730593,0.017924476649155117,1.1791435330885833,0.28,66,51,multivariate_margin
species_error_strict,species_same_genus_observed_5pct,species_baseline,5,t360_mean,1,0.353308175730227,0.013359905096784678,0.8796774593241146,0.66,66,51,multivariate_margin
species_error_strict,species_same_genus_observed_5pct,species_baseline,5,mos,1,0.5904845360274926,0.022328431393192107,1.47020638667435,0.09,66,51,multivariate_margin
species_error_strict,species_same_genus_observed_5pct,species_baseline,5,p_h,1,0.47512144404763745,0.017966120905083448,1.1829718457728644,0.29,66,51,multivariate_margin
species_error_strict,species_same_genus_observed_5pct,species_baseline,6,t360_mean,1,0.3462588506513029,0.013093912642527775,0.8599007675837557,0.68,66,51,multivariate_margin
species_error_strict,species_same_genus_observed_5pct,species_baseline,6,mos,1,0.5876793959717439,0.022223324135089654,1.459445622079318,0.09,66,51,multivariate_margin
species_error_strict,species_same_genus_observed_5pct,species_baseline,6,p_h,1,0.4319523890438042,0.01633444701047228,1.0727124814275317,0.48,66,51,multivariate_margin
species_error_strict,species_same_genus_observed_5pct,species_baseline,7,t360_mean,1,0.3502112397918751,0.01325007556161429,0.8720559720396365,0.71,66,51,multivariate_margin
species_error_strict,species_same_genus_observed_5pct,species_baseline,7,mos,1,0.5707353968455422,0.02159350207716205,1.42118000430069,0.13,66,51,multivariate_margin
species_error_strict,species_same_genus_observed_5pct,species_baseline,7,p_h,1,0.48206441564621727,0.018238677709698125,1.2003816691374918,0.22,66,51,multivariate_margin
species_error_strict,species_same_genus_observed_5pct,species_baseline,8,t360_mean,1,0.35003558640696397,0.013252108206596228,0.8721016247589272,0.66,66,51,multivariate_margin
