scenario_family,scenario,baseline_scenario,alpha_metric,term,estimate_mean,estimate_sd,p_median,p_prop_lt_005,adj_r2_mean,n_iter,n_valid
resolution_genus,rtu_genus_level,rtu_mixed_genus_resolvable,q1,mos,0.035256490538223426,NA,0.5078992928657451,0,-0.03852028590502843,1,1
resolution_genus,rtu_genus_level,rtu_mixed_genus_resolvable,q1,ph,0.010015350382047658,NA,0.8562115608463453,0,-0.03852028590502843,1,1
resolution_genus,rtu_genus_level,rtu_mixed_genus_resolvable,q1,t360_mean,-0.013080315940593236,NA,0.8125364657446794,0,-0.03852028590502843,1,1
resolution_genus,rtu_genus_level,rtu_mixed_genus_resolvable,q2,mos,0.024915987350276808,NA,0.6119507930775465,0,-0.037808187526543025,1,1
resolution_genus,rtu_genus_level,rtu_mixed_genus_resolvable,q2,ph,-0.006464013947951419,NA,0.8991752562846395,0,-0.037808187526543025,1,1
resolution_genus,rtu_genus_level,rtu_mixed_genus_resolvable,q2,t360_mean,-0.01675852859793677,NA,0.7420816498270276,0,-0.037808187526543025,1,1
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,coverage_chao,mos,0.012441950372025952,NA,0.27022623772398335,0,0.18831953769713128,1,1
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,coverage_chao,ph,-0.009765242082026532,NA,0.40425535289764847,0,0.18831953769713128,1,1
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,coverage_chao,t360_mean,0.04884474682040795,NA,8.401313194793853e-5,1,0.18831953769713128,1,1
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,q0,mos,0.06405028240659552,NA,0.27445690098472264,0,-0.0256043838010791,1,1
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,q0,ph,0.007453189837435506,NA,0.9021872354624456,0,-0.0256043838010791,1,1
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,q0,t360_mean,0.03596896075059609,NA,0.5527696432303004,0,-0.0256043838010791,1,1
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,q1,mos,0.04102966325376385,NA,0.43867701838308915,0,-0.03332153182963915,1,1
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,q1,ph,0.009514340283146367,NA,0.862556583583031,0,-0.03332153182963915,1,1
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,q1,t360_mean,-0.01945470361523827,NA,0.7228564820113539,0,-0.03332153182963915,1,1
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,q2,mos,0.031406310221177784,NA,0.5237035895315635,0,-0.029809168119647067,1,1
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,q2,ph,-0.009715434851672559,NA,0.849306861075372,0,-0.029809168119647067,1,1
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,q2,t360_mean,-0.023621169712673206,NA,0.6436157102572356,0,-0.029809168119647067,1,1
species_error_strict,species_baseline,species_baseline,coverage_chao,mos,0.024075693644531725,NA,0.21194313227772238,0,0.033343172078928895,1,1
species_error_strict,species_baseline,species_baseline,coverage_chao,ph,-0.022263462486237673,NA,0.2662935786864638,0,0.033343172078928895,1,1
species_error_strict,species_baseline,species_baseline,coverage_chao,t360_mean,0.03840685520329464,NA,0.05699950973390159,0,0.033343172078928895,1,1
species_error_strict,species_baseline,species_baseline,q0,mos,0.07726182121183414,NA,0.21717178071258683,0,-0.020838351002653077,1,1
species_error_strict,species_baseline,species_baseline,q0,ph,0.011998511029674598,NA,0.8528790875866461,0,-0.020838351002653077,1,1
species_error_strict,species_baseline,species_baseline,q0,t360_mean,0.036283578912531686,NA,0.5745253822729066,0,-0.020838351002653077,1,1
species_error_strict,species_baseline,species_baseline,q1,mos,0.038360289429903875,NA,0.4550402649321058,0,-0.03862488824995913,1,1
species_error_strict,species_baseline,species_baseline,q1,ph,0.009455173567785476,NA,0.8591341248078457,0,-0.03862488824995913,1,1
species_error_strict,species_baseline,species_baseline,q1,t360_mean,0.013076620783804602,NA,0.805705450459011,0,-0.03862488824995913,1,1
species_error_strict,species_baseline,species_baseline,q2,mos,0.03347620430189949,NA,0.46207733149727204,0,-0.03796391404257604,1,1
species_error_strict,species_baseline,species_baseline,q2,ph,-0.0024396527105669664,NA,0.9587986928129728,0,-0.03796391404257604,1,1
species_error_strict,species_baseline,species_baseline,q2,t360_mean,0.017891954478090246,NA,0.7043170927218587,0,-0.03796391404257604,1,1
species_error_strict,species_difficult_genera_observed_20pct,species_baseline,coverage_chao,mos,0.024388296427311596,6.388852429390123e-4,0.20866696661755219,0,0.03328501955314349,10,10
species_error_strict,species_difficult_genera_observed_20pct,species_baseline,coverage_chao,ph,-0.02098987966765818,9.024452723212968e-4,0.29633727422925893,0,0.03328501955314349,10,10
species_error_strict,species_difficult_genera_observed_20pct,species_baseline,coverage_chao,t360_mean,0.03862925527553434,4.27122541649003e-4,0.05556003267930047,0.1,0.03328501955314349,10,10
species_error_strict,species_difficult_genera_observed_20pct,species_baseline,q0,mos,0.08500267959747633,0.004841562847186656,0.18359964848299426,0,-0.01774430908935847,10,10
species_error_strict,species_difficult_genera_observed_20pct,species_baseline,q0,ph,0.003862149674867143,0.005988766379300655,0.9373991152224121,0,-0.01774430908935847,10,10
species_error_strict,species_difficult_genera_observed_20pct,species_baseline,q0,t360_mean,0.03153640801137316,0.002000944498879679,0.6302951680605895,0,-0.01774430908935847,10,10
species_error_strict,species_difficult_genera_observed_20pct,species_baseline,q1,mos,0.047797578318477835,0.0026284508069503508,0.36627652768940605,0,-0.03424937724499653,10,10
species_error_strict,species_difficult_genera_observed_20pct,species_baseline,q1,ph,0.010124801112896754,0.0032695991364660674,0.8496905735011947,0,-0.03424937724499653,10,10
species_error_strict,species_difficult_genera_observed_20pct,species_baseline,q1,t360_mean,0.004494278660186526,0.002531346545229042,0.948475480987572,0,-0.03424937724499653,10,10
