varied_parameter,factor_label,factor_value,factor_value_label,scenario,scenario_label,scenario_domain,mechanism,intensity_type,requested_intensity,intensity_label,metric,n_replicates,relative_delta_med,relative_delta_p10,relative_delta_p90
mean_genera_per_family,Mean genera per family,1.5,1.5,id_observed_uniform_10pct,Observed-pool congeneric error,identification_error,observed_uniform,identification_error_rate,0.1,   10%,alpha_q2,5,12.338206762304205,11.151923583917716,12.930697877014438
mean_genera_per_family,Mean genera per family,1.5,1.5,id_observed_uniform_10pct,Observed-pool congeneric error,identification_error,observed_uniform,identification_error_rate,0.1,   10%,gamma,5,0,0,0
mean_genera_per_family,Mean genera per family,1.5,1.5,id_observed_uniform_10pct,Observed-pool congeneric error,identification_error,observed_uniform,identification_error_rate,0.1,   10%,mean_bray_curtis,5,-1.5198455228150398,-1.8191750827922482,-1.2066166381712893
mean_genera_per_family,Mean genera per family,1.5,1.5,id_observed_uniform_10pct,Observed-pool congeneric error,identification_error,observed_uniform,identification_error_rate,0.1,   10%,mean_jaccard,5,-4.09041083165285,-4.937978399841859,-3.425170385772839
mean_genera_per_family,Mean genera per family,1.5,1.5,id_observed_uniform_10pct,Observed-pool congeneric error,identification_error,observed_uniform,identification_error_rate,0.1,   10%,mean_occupancy,5,31.720856463124502,30.39458633112753,33.706499548972126
mean_genera_per_family,Mean genera per family,1.5,1.5,id_observed_uniform_10pct,Observed-pool congeneric error,identification_error,observed_uniform,identification_error_rate,0.1,   10%,mean_sorensen,5,-6.602757086235694,-7.828942773194074,-5.56356449874994
mean_genera_per_family,Mean genera per family,1.5,1.5,id_observed_uniform_1pct,Observed-pool congeneric error,identification_error,observed_uniform,identification_error_rate,0.01,    1%,alpha_q0,5,4.575163398692806,4.216662731132974,5.170769855473512
mean_genera_per_family,Mean genera per family,1.5,1.5,id_observed_uniform_1pct,Observed-pool congeneric error,identification_error,observed_uniform,identification_error_rate,0.01,    1%,alpha_q1,5,1.9553258469723895,1.69185328276181,2.0849201523430922
mean_genera_per_family,Mean genera per family,1.5,1.5,id_observed_uniform_1pct,Observed-pool congeneric error,identification_error,observed_uniform,identification_error_rate,0.01,    1%,alpha_q2,5,1.214688694299569,0.9469029962234612,1.2936361865934964
mean_genera_per_family,Mean genera per family,1.5,1.5,id_observed_uniform_1pct,Observed-pool congeneric error,identification_error,observed_uniform,identification_error_rate,0.01,    1%,gamma,5,0,0,0
mean_genera_per_family,Mean genera per family,1.5,1.5,id_observed_uniform_1pct,Observed-pool congeneric error,identification_error,observed_uniform,identification_error_rate,0.01,    1%,mean_bray_curtis,5,-0.11935174933815389,-0.14310302649849815,-0.09710258545914435
mean_genera_per_family,Mean genera per family,1.5,1.5,id_observed_uniform_1pct,Observed-pool congeneric error,identification_error,observed_uniform,identification_error_rate,0.01,    1%,mean_jaccard,5,-0.18572418277264838,-0.30296518622719565,-0.05437334093663299
mean_genera_per_family,Mean genera per family,1.5,1.5,id_observed_uniform_1pct,Observed-pool congeneric error,identification_error,observed_uniform,identification_error_rate,0.01,    1%,mean_occupancy,5,4.575163398692798,4.2166627311329865,5.170769855473507
mean_genera_per_family,Mean genera per family,1.5,1.5,id_observed_uniform_1pct,Observed-pool congeneric error,identification_error,observed_uniform,identification_error_rate,0.01,    1%,mean_sorensen,5,-0.3324007940454379,-0.5415399210630774,-0.1106978026988932
mean_genera_per_family,Mean genera per family,1.5,1.5,id_observed_uniform_20pct,Observed-pool congeneric error,identification_error,observed_uniform,identification_error_rate,0.2,   20%,alpha_q0,5,44.720496894409926,43.884603782753075,48.750890186583106
mean_genera_per_family,Mean genera per family,1.5,1.5,id_observed_uniform_20pct,Observed-pool congeneric error,identification_error,observed_uniform,identification_error_rate,0.2,   20%,alpha_q1,5,32.9885630571744,31.05125957828853,36.02789806743426
mean_genera_per_family,Mean genera per family,1.5,1.5,id_observed_uniform_20pct,Observed-pool congeneric error,identification_error,observed_uniform,identification_error_rate,0.2,   20%,alpha_q2,5,25.764412596148034,22.595124204376667,27.18358994357218
mean_genera_per_family,Mean genera per family,1.5,1.5,id_observed_uniform_20pct,Observed-pool congeneric error,identification_error,observed_uniform,identification_error_rate,0.2,   20%,gamma,5,0,0,0
mean_genera_per_family,Mean genera per family,1.5,1.5,id_observed_uniform_20pct,Observed-pool congeneric error,identification_error,observed_uniform,identification_error_rate,0.2,   20%,mean_bray_curtis,5,-3.2764557043217217,-3.7160961688379235,-2.746397148122293
mean_genera_per_family,Mean genera per family,1.5,1.5,id_observed_uniform_20pct,Observed-pool congeneric error,identification_error,observed_uniform,identification_error_rate,0.2,   20%,mean_jaccard,5,-7.328024609581816,-8.664402748242605,-6.5704161571301984
mean_genera_per_family,Mean genera per family,1.5,1.5,id_observed_uniform_20pct,Observed-pool congeneric error,identification_error,observed_uniform,identification_error_rate,0.2,   20%,mean_occupancy,5,44.720496894409926,43.884603782753096,48.75089018658309
mean_genera_per_family,Mean genera per family,1.5,1.5,id_observed_uniform_20pct,Observed-pool congeneric error,identification_error,observed_uniform,identification_error_rate,0.2,   20%,mean_sorensen,5,-11.504236882968103,-13.34423306719438,-10.356071809938939
mean_genera_per_family,Mean genera per family,1.5,1.5,id_observed_uniform_3pct,Observed-pool congeneric error,identification_error,observed_uniform,identification_error_rate,0.03,    3%,alpha_q0,5,13.16415543219666,12.415542488181718,14.256015659275747
mean_genera_per_family,Mean genera per family,1.5,1.5,id_observed_uniform_3pct,Observed-pool congeneric error,identification_error,observed_uniform,identification_error_rate,0.03,    3%,alpha_q1,5,6.039550507482959,5.435481458482817,6.364118542722581
mean_genera_per_family,Mean genera per family,1.5,1.5,id_observed_uniform_3pct,Observed-pool congeneric error,identification_error,observed_uniform,identification_error_rate,0.03,    3%,alpha_q2,5,3.632722174968168,3.2729236166525713,3.9126658479163354
mean_genera_per_family,Mean genera per family,1.5,1.5,id_observed_uniform_3pct,Observed-pool congeneric error,identification_error,observed_uniform,identification_error_rate,0.03,    3%,gamma,5,0,0,0
mean_genera_per_family,Mean genera per family,1.5,1.5,id_observed_uniform_3pct,Observed-pool congeneric error,identification_error,observed_uniform,identification_error_rate,0.03,    3%,mean_bray_curtis,5,-0.3572648589136777,-0.4639373836778026,-0.2918701700492785
mean_genera_per_family,Mean genera per family,1.5,1.5,id_observed_uniform_3pct,Observed-pool congeneric error,identification_error,observed_uniform,identification_error_rate,0.03,    3%,mean_jaccard,5,-1.0578811266429655,-1.3123451285357897,-0.561877787525059
mean_genera_per_family,Mean genera per family,1.5,1.5,id_observed_uniform_3pct,Observed-pool congeneric error,identification_error,observed_uniform,identification_error_rate,0.03,    3%,mean_occupancy,5,13.16415543219667,12.415542488181707,14.256015659275754
mean_genera_per_family,Mean genera per family,1.5,1.5,id_observed_uniform_3pct,Observed-pool congeneric error,identification_error,observed_uniform,identification_error_rate,0.03,    3%,mean_sorensen,5,-1.761851535401946,-2.173831833799254,-0.9801109782332099
mean_genera_per_family,Mean genera per family,1.5,1.5,id_observed_uniform_5pct,Observed-pool congeneric error,identification_error,observed_uniform,identification_error_rate,0.05,    5%,alpha_q0,5,20.740103270223752,18.68027726899468,21.78828593584327
mean_genera_per_family,Mean genera per family,1.5,1.5,id_observed_uniform_5pct,Observed-pool congeneric error,identification_error,observed_uniform,identification_error_rate,0.05,    5%,alpha_q1,5,9.697692521277443,9.072247803359453,10.517028099913293
mean_genera_per_family,Mean genera per family,1.5,1.5,id_observed_uniform_5pct,Observed-pool congeneric error,identification_error,observed_uniform,identification_error_rate,0.05,    5%,alpha_q2,5,5.932634116471394,5.757345255974267,6.271046132306289
mean_genera_per_family,Mean genera per family,1.5,1.5,id_observed_uniform_5pct,Observed-pool congeneric error,identification_error,observed_uniform,identification_error_rate,0.05,    5%,gamma,5,0,0,0
mean_genera_per_family,Mean genera per family,1.5,1.5,id_observed_uniform_5pct,Observed-pool congeneric error,identification_error,observed_uniform,identification_error_rate,0.05,    5%,mean_bray_curtis,5,-0.8091108959150906,-0.8788695469901828,-0.5865553924267927
mean_genera_per_family,Mean genera per family,1.5,1.5,id_observed_uniform_5pct,Observed-pool congeneric error,identification_error,observed_uniform,identification_error_rate,0.05,    5%,mean_jaccard,5,-1.962463442214611,-2.5019658804980023,-1.5130076820451501
mean_genera_per_family,Mean genera per family,1.5,1.5,id_observed_uniform_5pct,Observed-pool congeneric error,identification_error,observed_uniform,identification_error_rate,0.05,    5%,mean_occupancy,5,20.740103270223745,18.680277268994693,21.78828593584325
