varied_parameter,factor_label,factor_value,factor_value_label,scenario,scenario_label,scenario_domain,mechanism,intensity_type,requested_intensity,intensity_label,n_replicates,alpha_q0_spearman_med,bray_spearman_med,jaccard_spearman_med,sorensen_spearman_med
mean_genera_per_family,Mean genera per family,2,2,id_regional_difficult_bias_3pct,Difficult-genus regional-pool error,identification_error,regional_difficult_bias,identification_error_rate,0.03,    3%,5,0.9188864412460909,0.9971193379540904,0.9284754732597778,0.9284754732597778
mean_genera_per_family,Mean genera per family,2,2,id_regional_difficult_bias_5pct,Difficult-genus regional-pool error,identification_error,regional_difficult_bias,identification_error_rate,0.05,    5%,5,0.855070675403847,0.9949220754839595,0.8802486984372724,0.8802486984372724
mean_genera_per_family,Mean genera per family,2,2,id_regional_uniform_10pct,Regional-pool congeneric error,identification_error,regional_uniform,identification_error_rate,0.1,   10%,5,0.8569650864748165,0.9890968175672289,0.7901369914595286,0.7901369914595286
mean_genera_per_family,Mean genera per family,2,2,id_regional_uniform_1pct,Regional-pool congeneric error,identification_error,regional_uniform,identification_error_rate,0.01,    1%,5,0.9611102816384036,0.9990408953521663,0.9750895004720261,0.9750895004720261
mean_genera_per_family,Mean genera per family,2,2,id_regional_uniform_20pct,Regional-pool congeneric error,identification_error,regional_uniform,identification_error_rate,0.2,   20%,5,0.8298202910982896,0.9711538374722373,0.6812296880588201,0.6812296880588201
mean_genera_per_family,Mean genera per family,2,2,id_regional_uniform_3pct,Regional-pool congeneric error,identification_error,regional_uniform,identification_error_rate,0.03,    3%,5,0.8996430987171194,0.9972313797389236,0.9328396034213047,0.9328396034213047
mean_genera_per_family,Mean genera per family,2,2,id_regional_uniform_5pct,Regional-pool congeneric error,identification_error,regional_uniform,identification_error_rate,0.05,    5%,5,0.8750181978861289,0.9945050463433535,0.8751427356448214,0.8751427356448214
mean_genera_per_family,Mean genera per family,2,2,workflow_difficult_genera_to_genus,Difficult genera reported at genus,fixed_workflow,difficult_to_genus,fixed_workflow,NA,fixed,5,0.9919437327294464,0.9726692056190474,0.9528304707833338,0.9528304707833338
mean_genera_per_family,Mean genera per family,2,2,workflow_drop_unresolved_10pct,Dropping unresolved records,reporting_workflow,drop_unresolved,unresolved_reporting_rate,0.1,   10%,5,0.9239692439731805,0.9850243297149757,0.866163646575799,0.866163646575799
mean_genera_per_family,Mean genera per family,2,2,workflow_drop_unresolved_1pct,Dropping unresolved records,reporting_workflow,drop_unresolved,unresolved_reporting_rate,0.01,    1%,5,0.9594101747966173,0.9985364836801577,0.9778700947184733,0.9778700947184733
