world_id,scenario,delta_alpha_med,delta_alpha_p10,delta_alpha_p90,delta_gamma_med,delta_gamma_p10,delta_gamma_p90,delta_occupancy_med,beta_signature,replicate_id,n_regional_species,n_genera,n_families,mean_species_per_genus,cv_species_per_genus,prop_monotypic_genera,mean_genera_per_family,cv_genera_per_family,prop_difficult_genera,n_observed_species,true_alpha_q0,true_gamma,true_mean_occupancy,true_mean_bray_curtis,n_sites,species_per_genus_concentration,genera_per_family_concentration,difficult_genus_fraction,occupancy_mean,occupancy_precision,mean_abundance,abundance_nb_size,occupancy_abundance_slope,observed_selection_bias,environmental_gradient_strength,realised_mean_error,realised_unresolved_rate,n_eligible_source_species,regional_to_observed_ratio,observed_fraction,species_per_family,taxonomic_compression_genus,taxonomic_compression_family,log_regional_to_observed,log_mean_species_per_genus,log_mean_genera_per_family,log_species_per_family,log_n_sites
18,difficult_genera_to_genus,-17.928748964374478,-21.849339320447903,-17.43978586681519,-27.464788732394368,-32.67605633802817,-25.422535211267608,11.951844763548554,apparent_homogenisation,1,796,71,7,11.211267605633802,0.48102441606189206,0,10.142857142857142,2.3849025902554057,0.352112676056338,284,109.06306306306307,284,0.3840248699403629,0.7077522087579191,111,6.9646384340361696,7.416807453380898,0.35279102372005583,0.571595178223215,15.735124380444176,29.461172532988712,3.5292292576050386,0.3578181049670093,-0.9599513988941908,1.5084391369018704,0,0.3670219213119316,275.2,2.8028169014084505,0.35678391959798994,113.71428571428571,11.211267605633802,113.71428571428571,0.44759472769063136,1.0496547190185936,1.0061603087048185,2.0558150277234124,2.0453229787866576
18,drop_unresolved,-32.20348478906382,-32.749587576787995,-31.83684382881967,-19.318181818181817,-19.81869688385269,-19.041558441558443,-15.879872025556706,apparent_differentiation,1,796,71,7,11.211267605633802,0.48102441606189206,0,10.142857142857142,2.3849025902554057,0.352112676056338,284,109.06306306306307,284,0.3840248699403629,0.7077522087579191,111,6.9646384340361696,7.416807453380898,0.35279102372005583,0.571595178223215,15.735124380444176,29.461172532988712,3.5292292576050386,0.3578181049670093,-0.9599513988941908,1.5084391369018704,0,0.19965630953620925,275.2,2.8028169014084505,0.35678391959798994,113.71428571428571,11.211267605633802,113.71428571428571,0.44759472769063136,1.0496547190185936,1.0061603087048185,2.0558150277234124,2.0453229787866576
18,family_level,-95.03551957706924,-95.63639614871708,-94.30916811566559,-97.53521126760563,-98.09859154929578,-97.11267605633802,104.1037045707263,apparent_homogenisation,1,796,71,7,11.211267605633802,0.48102441606189206,0,10.142857142857142,2.3849025902554057,0.352112676056338,284,109.06306306306307,284,0.3840248699403629,0.7077522087579191,111,6.9646384340361696,7.416807453380898,0.35279102372005583,0.571595178223215,15.735124380444176,29.461172532988712,3.5292292576050386,0.3578181049670093,-0.9599513988941908,1.5084391369018704,0,NA,275.2,2.8028169014084505,0.35678391959798994,113.71428571428571,11.211267605633802,113.71428571428571,0.44759472769063136,1.0496547190185936,1.0061603087048185,2.0558150277234124,2.0453229787866576
18,genus_level,-51.90814472162564,-52.70424132297124,-50.67831637984201,-76.05633802816901,-76.47887323943662,-75.28169014084507,101.22762148337597,apparent_homogenisation,1,796,71,7,11.211267605633802,0.48102441606189206,0,10.142857142857142,2.3849025902554057,0.352112676056338,284,109.06306306306307,284,0.3840248699403629,0.7077522087579191,111,6.9646384340361696,7.416807453380898,0.35279102372005583,0.571595178223215,15.735124380444176,29.461172532988712,3.5292292576050386,0.3578181049670093,-0.9599513988941908,1.5084391369018704,0,NA,275.2,2.8028169014084505,0.35678391959798994,113.71428571428571,11.211267605633802,113.71428571428571,0.44759472769063136,1.0496547190185936,1.0061603087048185,2.0558150277234124,2.0453229787866576
18,mixed_rtu_reporting,47.53015033867502,46.60680245441052,48.540386824643996,23.943661971830984,23.52112676056338,24.718309859154928,18.774481632159226,apparent_homogenisation,1,796,71,7,11.211267605633802,0.48102441606189206,0,10.142857142857142,2.3849025902554057,0.352112676056338,284,109.06306306306307,284,0.3840248699403629,0.7077522087579191,111,6.9646384340361696,7.416807453380898,0.35279102372005583,0.571595178223215,15.735124380444176,29.461172532988712,3.5292292576050386,0.3578181049670093,-0.9599513988941908,1.5084391369018704,0,0.19950909192875005,275.2,2.8028169014084505,0.35678391959798994,113.71428571428571,11.211267605633802,113.71428571428571,0.44759472769063136,1.0496547190185936,1.0061603087048185,2.0558150277234124,2.0453229787866576
18,observed_congeneric_error,83.53133961491193,82.73306778797782,84.500559144486175,0,0,0,83.53133961491194,apparent_homogenisation,1,796,71,7,11.211267605633802,0.48102441606189206,0,10.142857142857142,2.3849025902554057,0.352112676056338,284,109.06306306306307,284,0.3840248699403629,0.7077522087579191,111,6.9646384340361696,7.416807453380898,0.35279102372005583,0.571595178223215,15.735124380444176,29.461172532988712,3.5292292576050386,0.3578181049670093,-0.9599513988941908,1.5084391369018704,0.09726325345224952,0,275.2,2.8028169014084505,0.35678391959798994,113.71428571428571,11.211267605633802,113.71428571428571,0.44759472769063136,1.0496547190185936,1.0061603087048185,2.0558150277234124,2.0453229787866576
18,rare_species_to_genus,-0.20795208783896674,-0.4019266383325849,-0.15512398600285204,-2.112676056338028,-2.887323943661972,-1.3380281690140847,1.9636055861193427,apparent_homogenisation,1,796,71,7,11.211267605633802,0.48102441606189206,0,10.142857142857142,2.3849025902554057,0.352112676056338,284,109.06306306306307,284,0.3840248699403629,0.7077522087579191,111,6.9646384340361696,7.416807453380898,0.35279102372005583,0.571595178223215,15.735124380444176,29.461172532988712,3.5292292576050386,0.3578181049670093,-0.9599513988941908,1.5084391369018704,0,0.041290763758593384,275.2,2.8028169014084505,0.35678391959798994,113.71428571428571,11.211267605633802,113.71428571428571,0.44759472769063136,1.0496547190185936,1.0061603087048185,2.0558150277234124,2.0453229787866576
18,rare_weighted_error,83.81938690969348,83.13522787281156,84.14921762648581,0,0,0,83.81938690969346,apparent_homogenisation,1,796,71,7,11.211267605633802,0.48102441606189206,0,10.142857142857142,2.3849025902554057,0.352112676056338,284,109.06306306306307,284,0.3840248699403629,0.7077522087579191,111,6.9646384340361696,7.416807453380898,0.35279102372005583,0.571595178223215,15.735124380444176,29.461172532988712,3.5292292576050386,0.3578181049670093,-0.9599513988941908,1.5084391369018704,0.09679893886974529,0,275.2,2.8028169014084505,0.35678391959798994,113.71428571428571,11.211267605633802,113.71428571428571,0.44759472769063136,1.0496547190185936,1.0061603087048185,2.0558150277234124,2.0453229787866576
18,regional_congeneric_error,182.74233637116816,181.94158111569845,183.82920674828313,175.70422535211267,173.2394366197183,178.73239436619718,2.291494941925826,apparent_homogenisation,1,796,71,7,11.211267605633802,0.48102441606189206,0,10.142857142857142,2.3849025902554057,0.352112676056338,284,109.06306306306307,284,0.3840248699403629,0.7077522087579191,111,6.9646384340361696,7.416807453380898,0.35279102372005583,0.571595178223215,15.735124380444176,29.461172532988712,3.5292292576050386,0.3578181049670093,-0.9599513988941908,1.5084391369018704,0.09969773551265566,0,284,2.8028169014084505,0.35678391959798994,113.71428571428571,11.211267605633802,113.71428571428571,0.44759472769063136,1.0496547190185936,1.0061603087048185,2.0558150277234124,2.0453229787866576
19,difficult_genera_to_genus,-10.506798516687258,-12.359728337362451,-7.604525943999402,-38.095238095238095,-39.4672531769306,-33.62984218077475,47.663782447466,apparent_homogenisation,1,877,17,2,51.588235294117645,0.43936792924000434,0,8.5,1.2478354962115545,0.4117647058823529,137,8.918604651162791,123,0.07250898090376252,0.9221459635125114,86,6.197122483048588,5.921196800633334,0.38875025426968934,0.0723991725873202,19.640134667395614,38.291768721072,1.586784289800562,0.44402304058894515,-0.55002934159711,0.17387568159028888,0,0.4169365523807561,124.4,6.401459854014599,0.15621436716077536,438.5,51.588235294117645,438.5,0.8062790262096338,1.7125506719877666,0.9294189257142927,2.6419695977020594,1.9344984512435677
