requested_mean_error,realised_mean_error,candidate_pool,rarity_exponent,difficulty_multiplier,n_eligible_source_species,n_moved_individuals,workflow,realised_unresolved_rate,world_id,replicate_id,scenario
0.1,0.05633992745121836,regional,0,1,43,4178,species,0,6,2,regional_congeneric_error
0.1,0.02764405248324501,observed,0.5,1,22,2050,species,0,6,2,rare_weighted_error
0,0,observed,0,1,22,0,mixed_rtu,0.19859217605890211,6,2,mixed_rtu_reporting
0,0,observed,0,1,22,0,drop_unresolved,0.1995226344107771,6,2,drop_unresolved
0,0,observed,0,1,22,0,rare_to_genus,0.0039510767695564815,6,2,rare_species_to_genus
0,0,observed,0,1,22,0,difficult_to_genus,0.2403414377604272,6,2,difficult_genera_to_genus
0,0,observed,0,1,22,0,genus,NA,6,2,genus_level
0,0,observed,0,1,22,0,family,NA,6,2,family_level
0.1,0.017746913580246913,observed,0,1,16,1288,species,0,6,3,observed_congeneric_error
0.1,0.0587935405643739,regional,0,1,48,4267,species,0,6,3,regional_congeneric_error
0.1,0.017237103174603176,observed,0.5,1,16,1251,species,0,6,3,rare_weighted_error
0,0,observed,0,1,16,0,mixed_rtu,0.20242228835978837,6,3,mixed_rtu_reporting
0,0,observed,0,1,16,0,drop_unresolved,0.19904651675485008,6,3,drop_unresolved
0,0,observed,0,1,16,0,rare_to_genus,0.001722332451499118,6,3,rare_species_to_genus
0,0,observed,0,1,16,0,difficult_to_genus,0.27729552469135804,6,3,difficult_genera_to_genus
0,0,observed,0,1,16,0,genus,NA,6,3,genus_level
0,0,observed,0,1,16,0,family,NA,6,3,family_level
0.1,0.04775260075613433,observed,0,1,37,3865,species,0,6,4,observed_congeneric_error
0.1,0.07334008747436309,regional,0,1,52,5936,species,0,6,4,regional_congeneric_error
0.1,0.048963404087079,observed,0.5,1,37,3963,species,0,6,4,rare_weighted_error
0,0,observed,0,1,37,0,mixed_rtu,0.19996787664632187,6,4,mixed_rtu_reporting
0,0,observed,0,1,37,0,drop_unresolved,0.2019446984111295,6,4,drop_unresolved
0,0,observed,0,1,37,0,rare_to_genus,0.002471027206009538,6,4,rare_species_to_genus
0,0,observed,0,1,37,0,difficult_to_genus,0.22555536336455065,6,4,difficult_genera_to_genus
0,0,observed,0,1,37,0,genus,NA,6,4,genus_level
0,0,observed,0,1,37,0,family,NA,6,4,family_level
0.1,0.03545224163780865,observed,0,1,23,2672,species,0,6,5,observed_congeneric_error
0.1,0.061922010375618626,regional,0,1,48,4667,species,0,6,5,regional_congeneric_error
0.1,0.0349347875121071,observed,0.5,1,23,2633,species,0,6,5,rare_weighted_error
0,0,observed,0,1,23,0,mixed_rtu,0.19903408563202374,6,5,mixed_rtu_reporting
0,0,observed,0,1,23,0,drop_unresolved,0.19794610516260003,6,5,drop_unresolved
0,0,observed,0,1,23,0,rare_to_genus,0.0038079316429831893,6,5,rare_species_to_genus
0,0,observed,0,1,23,0,difficult_to_genus,0.17598747495654712,6,5,difficult_genera_to_genus
0,0,observed,0,1,23,0,genus,NA,6,5,genus_level
0,0,observed,0,1,23,0,family,NA,6,5,family_level
0.1,0,observed,0,1,0,0,species,0,7,1,observed_congeneric_error
0.1,0,regional,0,1,0,0,species,0,7,1,regional_congeneric_error
0.1,0,observed,0.5,1,0,0,species,0,7,1,rare_weighted_error
