world_id,varied_parameter,factor_label,factor_value,factor_value_label,n_regional_species...6,n_genera...7,n_families...8,difficult_genus_fraction,n_sites,n_observed_species,occupancy_mean,occupancy_precision,mean_abundance,abundance_nb_size,occupancy_abundance_slope,observed_selection_bias,environmental_gradient_strength,regional_observed_ratio_input,mean_species_per_genus_input,mean_genera_per_family_input,occupancy_mean_input,mean_species_per_family_input,replicate_id,n_regional_species...25,n_genera...26,n_families...27,mean_species_per_genus,cv_species_per_genus,prop_monotypic_genera,mean_genera_per_family,cv_genera_per_family,prop_difficult_genera,true_alpha_q0,true_gamma,true_mean_occupancy,true_mean_bray_curtis
6,mean_species_per_genus,Mean species per genus,2,2,320,160,40,0.2,70,80,0.2,6,8,1.5,0.6,0,0,4,2,4,0.2,8,2,320,160,37,2,0.644278153923165,0.46875,4.324324324324325,3.0509102552216554,0.2,14.571428571428571,80,0.18214285714285713,0.8356527149689001
6,mean_species_per_genus,Mean species per genus,2,2,320,160,40,0.2,70,80,0.2,6,8,1.5,0.6,0,0,4,2,4,0.2,8,3,320,160,32,2,0.6822087693891413,0.46875,5,2.8664916175611586,0.2,17.285714285714285,77,0.22448979591836735,0.7860949409312129
6,mean_species_per_genus,Mean species per genus,2,2,320,160,40,0.2,70,80,0.2,6,8,1.5,0.6,0,0,4,2,4,0.2,8,4,320,160,33,2,0.644278153923165,0.475,4.848484848484849,2.907741552734699,0.2,16.114285714285714,78,0.20659340659340658,0.8048539168262352
6,mean_species_per_genus,Mean species per genus,2,2,320,160,40,0.2,70,80,0.2,6,8,1.5,0.6,0,0,4,2,4,0.2,8,5,320,160,34,2,0.6635145607498332,0.46875,4.705882352941177,2.7321320346105993,0.2,16.357142857142858,75,0.2180952380952381,0.7523083862956557
7,mean_species_per_genus,Mean species per genus,4,4,320,80,20,0.2,70,80,0.2,6,8,1.5,0.6,0,0,4,4,4,0.2,16,1,320,80,16,4,0.6738797548900196,0.1875,5,2.9357565748315486,0.2,16.928571428571427,77,0.21985157699443414,0.8116917030539766
7,mean_species_per_genus,Mean species per genus,4,4,320,80,20,0.2,70,80,0.2,6,8,1.5,0.6,0,0,4,4,4,0.2,16,2,320,80,13,4,0.8372271896496241,0.25,6.153846153846154,2.490058357749874,0.2,14.657142857142857,77,0.19035250463821893,0.8189404512861088
7,mean_species_per_genus,Mean species per genus,4,4,320,80,20,0.2,70,80,0.2,6,8,1.5,0.6,0,0,4,4,4,0.2,16,3,320,80,14,4,0.7609953508732054,0.175,5.714285714285714,2.6879002385333597,0.2,15.214285714285714,76,0.20018796992481203,0.7863535514727488
7,mean_species_per_genus,Mean species per genus,4,4,320,80,20,0.2,70,80,0.2,6,8,1.5,0.6,0,0,4,4,4,0.2,16,4,320,80,12,4,0.6924091129865605,0.2,6.666666666666667,2.4774436971861284,0.2,14.5,76,0.1907894736842105,0.8023332221624166
7,mean_species_per_genus,Mean species per genus,4,4,320,80,20,0.2,70,80,0.2,6,8,1.5,0.6,0,0,4,4,4,0.2,16,5,320,80,13,4,0.6935507611039354,0.175,6.153846153846154,2.5373306593741383,0.2,14.028571428571428,78,0.17985347985347985,0.8137048141181057
8,mean_species_per_genus,Mean species per genus,8,8,320,40,10,0.2,70,80,0.2,6,8,1.5,0.6,0,0,4,8,4,0.2,32,1,320,40,6,8,0.64982739325581,0.025,6.666666666666667,2.082066281365701,0.2,14.628571428571428,76,0.1924812030075188,0.7965048329336782
8,mean_species_per_genus,Mean species per genus,8,8,320,40,10,0.2,70,80,0.2,6,8,1.5,0.6,0,0,4,8,4,0.2,32,2,320,40,6,8,0.8247960120772054,0.05,6.666666666666667,1.8654758106177627,0.2,16.87142857142857,78,0.2163003663003663,0.8059606069015236
8,mean_species_per_genus,Mean species per genus,8,8,320,40,10,0.2,70,80,0.2,6,8,1.5,0.6,0,0,4,8,4,0.2,32,3,320,40,4,8,0.6335947503667527,0.025,10,1.8,0.2,16.228571428571428,78,0.20805860805860807,0.7888351621290618
8,mean_species_per_genus,Mean species per genus,8,8,320,40,10,0.2,70,80,0.2,6,8,1.5,0.6,0,0,4,8,4,0.2,32,4,320,40,5,8,0.5188745216627708,0.025,8,1.8874586088176875,0.2,14.485714285714286,77,0.18812615955473097,0.8392964464432949
