varied_parameter,factor_label,factor_value,factor_value_label,scenario,scenario_label,scenario_domain,mechanism,intensity_type,requested_intensity,intensity_label,realised_mean_error_med,realised_unresolved_rate_med,eligible_source_species_med
mean_genera_per_family,Mean genera per family,4,4,workflow_drop_unresolved_10pct,Dropping unresolved records,reporting_workflow,drop_unresolved,unresolved_reporting_rate,0.1,   10%,0,0.10072573570460164,50
mean_genera_per_family,Mean genera per family,4,4,workflow_drop_unresolved_1pct,Dropping unresolved records,reporting_workflow,drop_unresolved,unresolved_reporting_rate,0.01,    1%,0,0.010847526358475301,50
mean_genera_per_family,Mean genera per family,4,4,workflow_drop_unresolved_20pct,Dropping unresolved records,reporting_workflow,drop_unresolved,unresolved_reporting_rate,0.2,   20%,0,0.20408326022808831,50
mean_genera_per_family,Mean genera per family,4,4,workflow_drop_unresolved_3pct,Dropping unresolved records,reporting_workflow,drop_unresolved,unresolved_reporting_rate,0.03,    3%,0,0.02926363320597425,50
mean_genera_per_family,Mean genera per family,4,4,workflow_drop_unresolved_5pct,Dropping unresolved records,reporting_workflow,drop_unresolved,unresolved_reporting_rate,0.05,    5%,0,0.049131973706388,50
mean_genera_per_family,Mean genera per family,4,4,workflow_family_level,Family-level aggregation,fixed_workflow,family_level,fixed_workflow,NA,fixed,0,NA,50
mean_genera_per_family,Mean genera per family,4,4,workflow_genus_level,Genus-level aggregation,fixed_workflow,genus_level,fixed_workflow,NA,fixed,0,NA,50
mean_genera_per_family,Mean genera per family,4,4,workflow_mixed_rtu_10pct,Mixed RTU reporting,reporting_workflow,mixed_rtu,unresolved_reporting_rate,0.1,   10%,0,0.10108801558947711,50
mean_genera_per_family,Mean genera per family,4,4,workflow_mixed_rtu_1pct,Mixed RTU reporting,reporting_workflow,mixed_rtu,unresolved_reporting_rate,0.01,    1%,0,0.01023925385239255,50
mean_genera_per_family,Mean genera per family,4,4,workflow_mixed_rtu_20pct,Mixed RTU reporting,reporting_workflow,mixed_rtu,unresolved_reporting_rate,0.2,   20%,0,0.20124726108208324,50
mean_genera_per_family,Mean genera per family,4,4,workflow_mixed_rtu_3pct,Mixed RTU reporting,reporting_workflow,mixed_rtu,unresolved_reporting_rate,0.03,    3%,0,0.03091351163598477,50
mean_genera_per_family,Mean genera per family,4,4,workflow_mixed_rtu_5pct,Mixed RTU reporting,reporting_workflow,mixed_rtu,unresolved_reporting_rate,0.05,    5%,0,0.050587996755879994,50
mean_genera_per_family,Mean genera per family,4,4,workflow_rare_species_to_genus,Rare taxa reported at genus,fixed_workflow,rare_to_genus,fixed_workflow,NA,fixed,0,0.002949603910332041,50
mean_genera_per_family,Mean genera per family,8,8,id_observed_rare_weighted_10pct,Rare-weighted observed-pool error,identification_error,observed_rare_weighted,identification_error_rate,0.1,   10%,0.06061116255577069,0,48
mean_genera_per_family,Mean genera per family,8,8,id_observed_rare_weighted_1pct,Rare-weighted observed-pool error,identification_error,observed_rare_weighted,identification_error_rate,0.01,    1%,0.0056402054044953276,0,48
mean_genera_per_family,Mean genera per family,8,8,id_observed_rare_weighted_20pct,Rare-weighted observed-pool error,identification_error,observed_rare_weighted,identification_error_rate,0.2,   20%,0.1198368179500255,0,48
mean_genera_per_family,Mean genera per family,8,8,id_observed_rare_weighted_3pct,Rare-weighted observed-pool error,identification_error,observed_rare_weighted,identification_error_rate,0.03,    3%,0.01916189111747851,0,48
mean_genera_per_family,Mean genera per family,8,8,id_observed_rare_weighted_5pct,Rare-weighted observed-pool error,identification_error,observed_rare_weighted,identification_error_rate,0.05,    5%,0.029780724120346762,0,48
mean_genera_per_family,Mean genera per family,8,8,id_observed_uniform_10pct,Observed-pool congeneric error,identification_error,observed_uniform,identification_error_rate,0.1,   10%,0.061294694047743147,0,48
mean_genera_per_family,Mean genera per family,8,8,id_observed_uniform_1pct,Observed-pool congeneric error,identification_error,observed_uniform,identification_error_rate,0.01,    1%,0.006301417819009277,0,48
mean_genera_per_family,Mean genera per family,8,8,id_observed_uniform_20pct,Observed-pool congeneric error,identification_error,observed_uniform,identification_error_rate,0.2,   20%,0.12106068332483427,0,48
mean_genera_per_family,Mean genera per family,8,8,id_observed_uniform_3pct,Observed-pool congeneric error,identification_error,observed_uniform,identification_error_rate,0.03,    3%,0.01986699217105817,0,48
mean_genera_per_family,Mean genera per family,8,8,id_observed_uniform_5pct,Observed-pool congeneric error,identification_error,observed_uniform,identification_error_rate,0.05,    5%,0.029678735339112697,0,48
mean_genera_per_family,Mean genera per family,8,8,id_regional_difficult_bias_10pct,Difficult-genus regional-pool error,identification_error,regional_difficult_bias,identification_error_rate,0.1,   10%,0.09433962264150944,0,73
mean_genera_per_family,Mean genera per family,8,8,id_regional_difficult_bias_1pct,Difficult-genus regional-pool error,identification_error,regional_difficult_bias,identification_error_rate,0.01,    1%,0.009889725188167338,0,73
mean_genera_per_family,Mean genera per family,8,8,id_regional_difficult_bias_20pct,Difficult-genus regional-pool error,identification_error,regional_difficult_bias,identification_error_rate,0.2,   20%,0.19399562180756802,0,73
mean_genera_per_family,Mean genera per family,8,8,id_regional_difficult_bias_3pct,Difficult-genus regional-pool error,identification_error,regional_difficult_bias,identification_error_rate,0.03,    3%,0.028093821109749693,0,73
mean_genera_per_family,Mean genera per family,8,8,id_regional_difficult_bias_5pct,Difficult-genus regional-pool error,identification_error,regional_difficult_bias,identification_error_rate,0.05,    5%,0.04895461499235084,0,73
mean_genera_per_family,Mean genera per family,8,8,id_regional_uniform_10pct,Regional-pool congeneric error,identification_error,regional_uniform,identification_error_rate,0.1,   10%,0.09719530851606323,0,73
mean_genera_per_family,Mean genera per family,8,8,id_regional_uniform_1pct,Regional-pool congeneric error,identification_error,regional_uniform,identification_error_rate,0.01,    1%,0.009849313915312737,0,73
mean_genera_per_family,Mean genera per family,8,8,id_regional_uniform_20pct,Regional-pool congeneric error,identification_error,regional_uniform,identification_error_rate,0.2,   20%,0.1940365329512894,0,73
mean_genera_per_family,Mean genera per family,8,8,id_regional_uniform_3pct,Regional-pool congeneric error,identification_error,regional_uniform,identification_error_rate,0.03,    3%,0.028658847526772054,0,73
mean_genera_per_family,Mean genera per family,8,8,id_regional_uniform_5pct,Regional-pool congeneric error,identification_error,regional_uniform,identification_error_rate,0.05,    5%,0.04969555873925501,0,73
mean_genera_per_family,Mean genera per family,8,8,workflow_difficult_genera_to_genus,Difficult genera reported at genus,fixed_workflow,difficult_to_genus,fixed_workflow,NA,fixed,0,0.22131492549877935,48
mean_genera_per_family,Mean genera per family,8,8,workflow_drop_unresolved_10pct,Dropping unresolved records,reporting_workflow,drop_unresolved,unresolved_reporting_rate,0.1,   10%,0,0.10073516541221772,48
mean_genera_per_family,Mean genera per family,8,8,workflow_drop_unresolved_1pct,Dropping unresolved records,reporting_workflow,drop_unresolved,unresolved_reporting_rate,0.01,    1%,0,0.009790922998470175,48
mean_genera_per_family,Mean genera per family,8,8,workflow_drop_unresolved_20pct,Dropping unresolved records,reporting_workflow,drop_unresolved,unresolved_reporting_rate,0.2,   20%,0,0.20014593974773276,48
mean_genera_per_family,Mean genera per family,8,8,workflow_drop_unresolved_3pct,Dropping unresolved records,reporting_workflow,drop_unresolved,unresolved_reporting_rate,0.03,    3%,0,0.030230376316063845,48
mean_genera_per_family,Mean genera per family,8,8,workflow_drop_unresolved_5pct,Dropping unresolved records,reporting_workflow,drop_unresolved,unresolved_reporting_rate,0.05,    5%,0,0.05076184864045796,48
mean_genera_per_family,Mean genera per family,8,8,workflow_family_level,Family-level aggregation,fixed_workflow,family_level,fixed_workflow,NA,fixed,0,NA,48
mean_genera_per_family,Mean genera per family,8,8,workflow_genus_level,Genus-level aggregation,fixed_workflow,genus_level,fixed_workflow,NA,fixed,0,NA,48
mean_genera_per_family,Mean genera per family,8,8,workflow_mixed_rtu_10pct,Mixed RTU reporting,reporting_workflow,mixed_rtu,unresolved_reporting_rate,0.1,   10%,0,0.10046561604584525,48
mean_genera_per_family,Mean genera per family,8,8,workflow_mixed_rtu_1pct,Mixed RTU reporting,reporting_workflow,mixed_rtu,unresolved_reporting_rate,0.01,    1%,0,0.010438589106827156,48
mean_genera_per_family,Mean genera per family,8,8,workflow_mixed_rtu_20pct,Mixed RTU reporting,reporting_workflow,mixed_rtu,unresolved_reporting_rate,0.2,   20%,0,0.19816420193778683,48
mean_genera_per_family,Mean genera per family,8,8,workflow_mixed_rtu_3pct,Mixed RTU reporting,reporting_workflow,mixed_rtu,unresolved_reporting_rate,0.03,    3%,0,0.030473945618318066,48
mean_genera_per_family,Mean genera per family,8,8,workflow_mixed_rtu_5pct,Mixed RTU reporting,reporting_workflow,mixed_rtu,unresolved_reporting_rate,0.05,    5%,0,0.051199019779450405,48
mean_genera_per_family,Mean genera per family,8,8,workflow_rare_species_to_genus,Rare taxa reported at genus,fixed_workflow,rare_to_genus,fixed_workflow,NA,fixed,0,0.0036484936933180445,48
mean_species_per_genus,Mean species per genus,1.5,1.5,id_observed_rare_weighted_10pct,Rare-weighted observed-pool error,identification_error,observed_rare_weighted,identification_error_rate,0.1,   10%,0.018030513176144243,0,15
mean_species_per_genus,Mean species per genus,1.5,1.5,id_observed_rare_weighted_1pct,Rare-weighted observed-pool error,identification_error,observed_rare_weighted,identification_error_rate,0.01,    1%,0.00206685837526959,0,15
mean_species_per_genus,Mean species per genus,1.5,1.5,id_observed_rare_weighted_20pct,Rare-weighted observed-pool error,identification_error,observed_rare_weighted,identification_error_rate,0.2,   20%,0.039180445722501796,0,15
mean_species_per_genus,Mean species per genus,1.5,1.5,id_observed_rare_weighted_3pct,Rare-weighted observed-pool error,identification_error,observed_rare_weighted,identification_error_rate,0.03,    3%,0.004942487419122933,0,15
mean_species_per_genus,Mean species per genus,1.5,1.5,id_observed_rare_weighted_5pct,Rare-weighted observed-pool error,identification_error,observed_rare_weighted,identification_error_rate,0.05,    5%,0.010402219140083218,0,15
mean_species_per_genus,Mean species per genus,1.5,1.5,id_observed_uniform_10pct,Observed-pool congeneric error,identification_error,observed_uniform,identification_error_rate,0.1,   10%,0.017250346740638002,0,15
mean_species_per_genus,Mean species per genus,1.5,1.5,id_observed_uniform_1pct,Observed-pool congeneric error,identification_error,observed_uniform,identification_error_rate,0.01,    1%,0.0017337031900138697,0,15
mean_species_per_genus,Mean species per genus,1.5,1.5,id_observed_uniform_20pct,Observed-pool congeneric error,identification_error,observed_uniform,identification_error_rate,0.2,   20%,0.035945363048166784,0,15
mean_species_per_genus,Mean species per genus,1.5,1.5,id_observed_uniform_3pct,Observed-pool congeneric error,identification_error,observed_uniform,identification_error_rate,0.03,    3%,0.005634535367545076,0,15
mean_species_per_genus,Mean species per genus,1.5,1.5,id_observed_uniform_5pct,Observed-pool congeneric error,identification_error,observed_uniform,identification_error_rate,0.05,    5%,0.010402219140083218,0,15
