species,n_sites,total_abundance,mean_BL,pct_winged,modeled,log_total_abundance,log_n_sites,log_BL,full_wing
Cymindis etrusca etrusca,1,9,NA,NA,Non-modelled species,1,0.3010299956639812,NA,NA
Cymindis humeralis,4,6,NA,NA,Non-modelled species,0.8450980400142568,0.6989700043360189,NA,NA
Cymindis scapularis,3,6,NA,NA,Non-modelled species,0.8450980400142568,0.6020599913279624,NA,NA
Cymindis vaporariorum,1,1,NA,NA,Non-modelled species,0.3010299956639812,0.3010299956639812,NA,NA
Demetrias atricapillus,12,46,5,1,Non-modelled species,1.6720978579357175,1.1139433523068367,0.6989700043360189,fully winged
Diachromus germanus,4,6,8.96,1,Non-modelled species,0.8450980400142568,0.6989700043360189,0.9523080096621253,fully winged
Drypta dentata,1,3,8,1,Non-modelled species,0.6020599913279624,0.3010299956639812,0.9030899869919435,fully winged
Dyschirius aeneus,1,1,NA,NA,Non-modelled species,0.3010299956639812,0.3010299956639812,NA,NA
Dyschirius globosus,2,5,NA,NA,Non-modelled species,0.7781512503836436,0.47712125471966244,NA,NA
Dyschirius tristis,2,2,NA,NA,Non-modelled species,0.47712125471966244,0.47712125471966244,NA,NA
Gynandromorphus etruscus,3,14,10.333333333333334,NA,Non-modelled species,1.1760912590556813,0.6020599913279624,1.0142404391146103,NA
Harpalus,3,3,NA,NA,Non-modelled species,0.6020599913279624,0.6020599913279624,NA,NA
Harpalus affinis,46,1501,10.5625,1,Modelled species,3.17666993266815,1.6720978579357175,1.0237667219577486,fully winged
Harpalus anxius,10,61,7.45,1,Non-modelled species,1.792391689498254,1.0413926851582251,0.8721562727482929,fully winged
Harpalus atratus,1,1,11.25,0.5,Non-modelled species,0.3010299956639812,0.3010299956639812,1.0511525224473812,not fully winged
Harpalus attenuatus,1,2,8,1,Non-modelled species,0.47712125471966244,0.3010299956639812,0.9030899869919435,fully winged
Harpalus cupreus,5,28,13,1,Non-modelled species,1.462397997898956,0.7781512503836436,1.1139433523068367,fully winged
Harpalus decipiens,2,17,9,NA,Non-modelled species,1.255272505103306,0.47712125471966244,0.9542425094393249,NA
Harpalus dimidiatus,46,513,12.25,1,Modelled species,2.710963118995276,1.6720978579357175,1.0881360887005513,fully winged
Harpalus dispar,1,5,10,NA,Non-modelled species,0.7781512503836436,0.3010299956639812,1,NA
Harpalus distinguendus,41,375,9.85,1,Modelled species,2.575187844927661,1.6232492903979006,0.9934362304976118,fully winged
Harpalus honestus,5,10,8.75,0.5,Non-modelled species,1.0413926851582251,0.7781512503836436,0.9420080530223133,not fully winged
Harpalus laevipes,3,6,10.495,1,Non-modelled species,0.8450980400142568,0.6020599913279624,1.020982442918419,fully winged
Harpalus latus,9,33,9.431111111111111,1,Non-modelled species,1.5314789170422551,1,0.9745628614539593,fully winged
Harpalus luteicornis,3,4,6.75,1,Non-modelled species,0.6989700043360189,0.6020599913279624,0.829303772831025,fully winged
Harpalus neglectus,1,1,7.133333333333334,NA,Non-modelled species,0.3010299956639812,0.3010299956639812,0.8532925186295284,NA
Harpalus oblitus,4,4,10.25,1,Non-modelled species,0.6989700043360189,0.6989700043360189,1.0107238653917732,fully winged
Harpalus punctatostriatus,1,1,NA,NA,Non-modelled species,0.3010299956639812,0.3010299956639812,NA,NA
Harpalus punctipennis,1,1,12,NA,Non-modelled species,0.3010299956639812,0.3010299956639812,1.0791812460476249,NA
Harpalus pygmaeus,2,17,6.25,1,Non-modelled species,1.255272505103306,0.47712125471966244,0.7958800173440752,fully winged
Harpalus rubripes,20,99,9.5,1,Modelled species,2,1.3222192947339193,0.9777236052888477,fully winged
Harpalus rufipalpis,3,30,NA,1,Non-modelled species,1.4913616938342726,0.6020599913279624,NA,fully winged
Harpalus serripes,8,38,10.25,1,Non-modelled species,1.591064607026499,0.9542425094393249,1.0107238653917732,fully winged
Harpalus solitaris,3,7,9.3,NA,Non-modelled species,0.9030899869919435,0.6020599913279624,0.9684829485539351,NA
Harpalus sulphuripes,1,1,6.875,NA,Non-modelled species,0.3010299956639812,0.3010299956639812,0.8372727025023002,NA
Harpalus tardus,15,67,9.475,0.8333333333333334,Modelled species,1.8325089127062364,1.2041199826559248,0.9765792186401099,not fully winged
Laemostenus oblongus,1,2,NA,NA,Non-modelled species,0.47712125471966244,0.3010299956639812,NA,NA
Leistus,1,1,NA,NA,Non-modelled species,0.3010299956639812,0.3010299956639812,NA,NA
Leistus fulvibarbis,2,3,7.375,1,Non-modelled species,0.6020599913279624,0.47712125471966244,0.8677620246502006,fully winged
Leistus rufomarginatus,4,6,8.963333333333333,0.6666666666666666,Non-modelled species,0.8450980400142568,0.6989700043360189,0.9524695475036391,not fully winged
Leistus spinibarbis,4,13,9.25,1,Non-modelled species,1.146128035678238,0.6989700043360189,0.9661417327390326,fully winged
Licinus cassideus,1,1,14.5,NA,Non-modelled species,0.3010299956639812,0.3010299956639812,1.1613680022349748,NA
Licinus hoffmannseggi,1,1,NA,NA,Non-modelled species,0.3010299956639812,0.3010299956639812,NA,NA
Licinus punctatulus,3,4,16.5,NA,Non-modelled species,0.6989700043360189,0.6020599913279624,1.2174839442139063,NA
Licinus silphoides,1,2,15.75,1,Non-modelled species,0.47712125471966244,0.3010299956639812,1.1972805581256194,fully winged
Loricera pilicornis,31,647,7.287,1,Modelled species,2.8115750058705933,1.505149978319906,0.862548769524793,fully winged
Microlestes,21,111,NA,NA,Modelled species,2.0492180226701815,1.3424226808222062,NA,NA
Microlestes abeillei,1,1,2.75,1,Non-modelled species,0.3010299956639812,0.3010299956639812,0.43933269383026263,fully winged
Microlestes fulvibasis,1,1,NA,NA,Non-modelled species,0.3010299956639812,0.3010299956639812,NA,NA
Microlestes luctuosus,4,47,2.4,1,Non-modelled species,1.6812412373755872,0.6989700043360189,0.38021124171160603,fully winged
Microlestes maurus,5,15,2.5,0.5,Non-modelled species,1.2041199826559248,0.7781512503836436,0.3979400086720376,not fully winged
Microlestes minutulus,13,70,2.8,1,Non-modelled species,1.8512583487190752,1.146128035678238,0.4471580313422192,fully winged
Molops piceus,9,21,13.066666666666666,0,Non-modelled species,1.3424226808222062,1,1.1161648123007948,not fully winged
Nebria,2,2,NA,NA,Non-modelled species,0.47712125471966244,0.47712125471966244,NA,NA
Nebria brevicollis,42,577,11.695833333333333,1,Modelled species,2.761927838420529,1.6334684555795864,1.0680311709228332,fully winged
Nebria castanea,2,2,NA,NA,Non-modelled species,0.47712125471966244,0.47712125471966244,NA,NA
Nebria salina,41,345,11.4,1,Modelled species,2.5390760987927767,1.6232492903979006,1.0569048513364727,fully winged
Notiophilus aestuans,1,3,NA,NA,Non-modelled species,0.6020599913279624,0.3010299956639812,NA,NA
Notiophilus aquaticus,5,14,4.925,0.5,Non-modelled species,1.1760912590556813,0.7781512503836436,0.6924062348336305,not fully winged
Notiophilus biguttatus,27,175,5.128571428571428,0.5454545454545454,Modelled species,2.24551266781415,1.4471580313422192,0.7099964085640623,not fully winged
Notiophilus germinyi,5,6,4.75,NA,Non-modelled species,0.8450980400142568,0.7781512503836436,0.6766936096248666,NA
Notiophilus palustris,2,2,5.2134375,0.5,Non-modelled species,0.47712125471966244,0.47712125471966244,0.7171241714766569,not fully winged
Notiophilus quadripunctatus,48,554,5.25,0.5,Modelled species,2.7442929831226763,1.6901960800285136,0.7201593034059569,not fully winged
Notiophilus rufipes,13,51,5.658125,0.6666666666666666,Non-modelled species,1.7160033436347992,1.146128035678238,0.7526725377145701,not fully winged
Notiophilus substriatus,32,247,4.875,0.25,Modelled species,2.3944516808262164,1.5185139398778875,0.6879746200345557,not fully winged
Ophonus ardosiacus,3,11,12,1,Non-modelled species,1.0791812460476249,0.6020599913279624,1.0791812460476249,fully winged
Ophonus azureus,4,11,7.7,0.4444444444444444,Non-modelled species,1.0791812460476249,0.6989700043360189,0.8864907251724818,not fully winged
Ophonus cribricollis,1,11,7.7,1,Non-modelled species,1.0791812460476249,0.3010299956639812,0.8864907251724818,fully winged
Ophonus laticollis,1,1,NA,NA,Non-modelled species,0.3010299956639812,0.3010299956639812,NA,NA
Ophonus puncticeps,1,1,7.5,NA,Non-modelled species,0.3010299956639812,0.3010299956639812,0.8750612633917001,NA
Ophonus schaubergerianus,1,1,9,1,Non-modelled species,0.3010299956639812,0.3010299956639812,0.9542425094393249,fully winged
Ophonus subquadratus,1,1,7.5,1,Non-modelled species,0.3010299956639812,0.3010299956639812,0.8750612633917001,fully winged
Oxypselaphus obscurus,1,1,5.5,0.6,Non-modelled species,0.3010299956639812,0.3010299956639812,0.7403626894942439,not fully winged
Panagaeus bipustulatus,3,3,17.214285714285715,1,Non-modelled species,0.6020599913279624,0.6020599913279624,1.2358890068966304,fully winged
Pangus scaritides,1,1,NA,NA,Non-modelled species,0.3010299956639812,0.3010299956639812,NA,NA
Paradromius linearis,3,4,4.5,NA,Non-modelled species,0.6989700043360189,0.6020599913279624,0.6532125137753437,NA
Paranchus albipes,1,1,7.95,1,Non-modelled species,0.3010299956639812,0.3010299956639812,0.9003671286564703,fully winged
Parophonus maculicornis,23,131,6.5,1,Modelled species,2.12057393120585,1.380211241711606,0.8129133566428556,fully winged
Pedius longicollis,2,5,5.5,0.3333333333333333,Non-modelled species,0.7781512503836436,0.47712125471966244,0.7403626894942439,not fully winged
Platyderus depressus,2,4,NA,0,Non-modelled species,0.6989700043360189,0.47712125471966244,NA,not fully winged
Platynus assimilis,4,33,NA,NA,Non-modelled species,1.5314789170422551,0.6989700043360189,NA,NA
Poecilus,2,2,NA,NA,Non-modelled species,0.47712125471966244,0.47712125471966244,NA,NA
Poecilus cupreus,78,18053,11.428571428571429,0.875,Non-modelled species,4.256573438123724,1.8976270912904414,1.0579919469776868,not fully winged
Poecilus kugelanni,7,72,12.66875,0.5,Non-modelled species,1.863322860120456,0.9030899869919435,1.102733766037084,not fully winged
Poecilus lepidus,1,8,12.05,0,Non-modelled species,0.9542425094393249,0.3010299956639812,1.0809870469108873,not fully winged
Poecilus lepidus gressorius,1,2,NA,NA,Non-modelled species,0.47712125471966244,0.3010299956639812,NA,NA
Poecilus purpurascens,3,26,10,NA,Non-modelled species,1.4313637641589874,0.6020599913279624,1,NA
Poecilus sericeus,6,46,12.69,0.5,Non-modelled species,1.6720978579357175,0.8450980400142568,1.1034616220947047,not fully winged
Poecilus sericeus desbrochersi,2,19,NA,NA,Non-modelled species,1.3010299956639813,0.47712125471966244,NA,NA
Poecilus versicolor,21,896,10.242307692307692,1,Modelled species,2.952792443044092,1.3424226808222062,1.0103978184681233,fully winged
Polistichus connexus,1,1,NA,1,Non-modelled species,0.3010299956639812,0.3010299956639812,NA,fully winged
Pseudoophonus,1,1,NA,NA,Non-modelled species,0.3010299956639812,0.3010299956639812,NA,NA
Pseudoophonus griseus,1,1,10,1,Non-modelled species,0.3010299956639812,0.3010299956639812,1,fully winged
Pseudoophonus rufipes,23,201,13.714285714285714,1,Non-modelled species,2.305351369446624,1.380211241711606,1.1371731930253115,fully winged
Pterostichus anthracinus,6,24,10.92,0.5833333333333334,Non-modelled species,1.3979400086720377,0.8450980400142568,1.0382226383687185,not fully winged
Pterostichus burmeisteri,2,16,12.645,0,Non-modelled species,1.2304489213782739,0.47712125471966244,1.1019188336804235,not fully winged
Pterostichus colasi,1,3,9,0,Non-modelled species,0.6020599913279624,0.3010299956639812,0.9542425094393249,not fully winged
Pterostichus cristatus,3,36,15,0,Non-modelled species,1.568201724066995,0.6020599913279624,1.1760912590556813,not fully winged
Pterostichus diligens,2,3,5.53125,0.6,Non-modelled species,0.6020599913279624,0.47712125471966244,0.7428232880419007,not fully winged
Pterostichus dufourii dufourii,1,5,NA,NA,Non-modelled species,0.7781512503836436,0.3010299956639812,NA,NA
Pterostichus externepunctatus,1,3,NA,NA,Non-modelled species,0.6020599913279624,0.3010299956639812,NA,NA
Pterostichus funestes,2,8,NA,NA,Non-modelled species,0.9542425094393249,0.47712125471966244,NA,NA
Pterostichus madidus,39,362,15.75,0,Modelled species,2.5599066250361124,1.6020599913279623,1.1972805581256194,not fully winged
Pterostichus melanarius,19,572,15.283214285714285,0.5,Modelled species,2.75815462196739,1.3010299956639813,1.1842147023904952,not fully winged
Pterostichus minor,1,2,NA,NA,Non-modelled species,0.47712125471966244,0.3010299956639812,NA,NA
Pterostichus morio baudii,2,2,NA,NA,Non-modelled species,0.47712125471966244,0.47712125471966244,NA,NA
Pterostichus multipunctatus,6,73,NA,NA,Non-modelled species,1.8692317197309762,0.8450980400142568,NA,NA
Pterostichus niger,4,6,18.9055,0.8571428571428571,Non-modelled species,0.8450980400142568,0.6989700043360189,1.2765881677799849,not fully winged
Pterostichus nigrita,1,1,NA,0.5,Non-modelled species,0.3010299956639812,0.3010299956639812,NA,not fully winged
Pterostichus oblongopunctatus,7,20,10.828333333333333,1,Non-modelled species,1.3222192947339193,0.9030899869919435,1.034561616381725,fully winged
Pterostichus ovoideus,3,5,NA,NA,Non-modelled species,0.7781512503836436,0.6020599913279624,NA,NA
Pterostichus pumilio,2,2,5.6,NA,Non-modelled species,0.47712125471966244,0.47712125471966244,0.7481880270062004,NA
Pterostichus selmanni,1,2,15.538333333333334,0,Non-modelled species,0.47712125471966244,0.3010299956639812,1.1914044338371998,not fully winged
Pterostichus strenuus,11,25,6.106875,0.5,Non-modelled species,1.414973347970818,1.0791812460476249,0.7858190306286107,not fully winged
Pterostichus unctulatus,1,7,NA,NA,Non-modelled species,0.9030899869919435,0.3010299956639812,NA,NA
Pterostichus vernalis,11,29,6.95,0.6,Modelled species,1.4771212547196624,1.0791812460476249,0.8419848045901139,not fully winged
Pterostichus xatartii,2,27,NA,NA,Non-modelled species,1.4471580313422192,0.47712125471966244,NA,NA
Scybalicus oblongiusculus,1,3,11.5,1,Non-modelled species,0.6020599913279624,0.3010299956639812,1.0606978403536116,fully winged
Semiophonus signaticornis,4,5,6.5,1,Non-modelled species,0.7781512503836436,0.6989700043360189,0.8129133566428556,fully winged
Stenolophus teutonus,9,17,5.75,NA,Modelled species,1.255272505103306,1,0.7596678446896304,NA
Stomis pumicatus,4,5,7.125,0.2222222222222222,Non-modelled species,0.7781512503836436,0.6989700043360189,0.8527848686805478,not fully winged
Syntomus foveatus,10,75,3.2333333333333334,0.3333333333333333,Non-modelled species,1.8808135922807914,1.0413926851582251,0.5096504795465824,not fully winged
Syntomus obscuroguttatus,14,44,3.25,1,Modelled species,1.6532125137753437,1.1760912590556813,0.5118833609788743,fully winged
